 # nnodes
 5
 # samplesize
 500
 # pen_spp
 .5
 # pen_nodes
 .7
# Nspp
7
# Nyrs ABC/TAC data
16
# TAC_Spp ABC_Spp Yr  ABC TAC
1 1 1 1.34  0.674943625
1 1 2 1.45  0.673684211
1 1 3 1.676 0.681111469
1 1 4 1.49  0.667606451
1 1 5 1.34  0.657222879
1 1 6 1.33  0.684719934
1 1 7 1.25  0.643533773
1 1 8 1.19  0.606400326
1 1 9 1.13  0.573886635
1 1 10  1.11  0.562529457
1 1 11  0.992 0.497116025
1 1 12  1.139 0.570061511
1 1 13  1.87427 0.7015
1 1 14  2.13811 0.74305
1 1 15  2.37347 0.746405
1 1 16  2.60197 0.746525
2 1 1 1.34  0.116191545
2 1 2 1.45  0.119473684
2 1 3 1.676 0.119980405
2 1 4 1.49  0.093464903
2 1 5 1.34  0.083163972
2 1 6 1.33  0.09833196
2 1 7 1.25  0.128706755
2 1 8 1.19  0.137586629
2 1 9 1.13  0.137123355
2 1 10  1.11  0.106424492
2 1 11  0.992 0.08869913
2 1 12  1.139 0.096595146
2 1 13  1.87427 0.094
2 1 14  2.13811 0.1
2 1 15  2.37347 0.10375
2 1 16  2.60197 0.10775
3 1 1 1.34  0.092011438
3 1 2 1.45  0.109289474
3 1 3 1.676 0.070730806
3 1 4 1.49  0.120682705
3 1 5 1.34  0.111222333
3 1 6 1.33  0.077391371
3 1 7 1.25  0.097817133
3 1 8 1.19  0.101916021
3 1 9 1.13  0.116808784
3 1 10  1.11  0.111492325
3 1 11  0.992 0.104223983
3 1 12  1.139 0.061691766
3 1 13  1.87427 0.0565
3 1 14  2.13811 0.043
3 1 15  2.37347 0.041875
3 1 16  2.60197 0.0430375
5 1 1 1.34  0.037868871
5 1 2 1.45  0.031657895
5 1 3 1.676 0.033885296
5 1 4 1.49  0.04056993
5 1 5 1.34  0.039938929
5 1 6 1.33  0.028830313
5 1 7 1.25  0.02550453
5 1 8 1.19  0.033122707
5 1 9 1.13  0.047866208
5 1 10  1.11  0.096001987
5 1 11  0.992 0.115910218
5 1 12  1.139 0.068299775
5 1 13  1.87427 0.034
5 1 14  2.13811 0.02
5 1 15  2.37347 0.0165
5 1 16  2.60197 0.016
4 1 1 1.34  0.045716349
4 1 2 1.45  0.031578947
4 1 3 1.676 0.047153871
4 1 4 1.49  0.020541737
4 1 5 1.34  0.037916705
4 1 6 1.33  0.038612026
4 1 7 1.25  0.030889621
4 1 8 1.19  0.035670607
4 1 9 1.13  0.04935679
4 1 10  1.11  0.050678329
4 1 11  0.992 0.060135003
4 1 12  1.139 0.068947914
4 1 13  1.87427 0.0375
4 1 14  2.13811 0.027
4 1 15  2.37347 0.022
4 1 16  2.60197 0.0205
7 1 1 1.34  0.010217337
7 1 2 1.45  0.011052632
7 1 3 1.676 0.012574366
7 1 4 1.49  0.022082367
7 1 5 1.34  0.032355588
7 1 6 1.33  0.035008237
7 1 7 1.25  0.041186161
7 1 8 1.19  0.054095495
7 1 9 1.13  0.033874547
7 1 10  1.11  0.032586166
7 1 11  0.992 0.033274702
7 1 12  1.139 0.035434903
7 1 13  1.87427 0.03465
7 1 14  2.13811 0.0245
7 1 15  2.37347 0.03
7 1 16  2.60197 0.0315
6 1 1 1.34  0.023050836
6 1 2 1.45  0.023263158
6 1 3 1.676 0.034563787
6 1 4 1.49  0.035051906
6 1 5 1.34  0.038179594
6 1 6 1.33  0.037106157
6 1 7 1.25  0.032362026
6 1 8 1.19  0.031208214
6 1 9 1.13  0.041083681
6 1 10  1.11  0.040287245
6 1 11  0.992 0.100640939
6 1 12  1.139 0.098968984
6 1 13  1.87427 0.04185
6 1 14  2.13811 0.04245
6 1 15  2.37347 0.03947
6 1 16  2.60197 0.0346875
1 2 1 0.3706  0.674943625
1 2 2 0.417 0.673684211
1 2 3 0.229 0.681111469
1 2 4 0.182 0.667606451
1 2 5 0.1645  0.657222879
1 2 6 0.191 0.684719934
1 2 7 0.328 0.643533773
1 2 8 0.305 0.606400326
1 2 9 0.306 0.573886635
1 2 10  0.21  0.562529457
1 2 11  0.177 0.497116025
1 2 12  0.193 0.570061511
1 2 13  0.188 0.7015
1 2 14  0.223 0.74305
1 2 15  0.223 0.746405
1 2 16  0.223 0.746525
2 2 1 0.3706  0.116191545
2 2 2 0.417 0.119473684
2 2 3 0.229 0.119980405
2 2 4 0.182 0.093464903
2 2 5 0.1645  0.083163972
2 2 6 0.191 0.09833196
2 2 7 0.328 0.128706755
2 2 8 0.305 0.137586629
2 2 9 0.306 0.137123355
2 2 10  0.21  0.106424492
2 2 11  0.177 0.08869913
2 2 12  0.193 0.096595146
2 2 13  0.188 0.094
2 2 14  0.223 0.1
2 2 15  0.223 0.10375
2 2 16  0.223 0.10775
3 2 1 0.3706  0.092011438
3 2 2 0.417 0.109289474
3 2 3 0.229 0.070730806
3 2 4 0.182 0.120682705
3 2 5 0.1645  0.111222333
3 2 6 0.191 0.077391371
3 2 7 0.328 0.097817133
3 2 8 0.305 0.101916021
3 2 9 0.306 0.116808784
3 2 10  0.21  0.111492325
3 2 11  0.177 0.104223983
3 2 12  0.193 0.061691766
3 2 13  0.188 0.0565
3 2 14  0.223 0.043
3 2 15  0.223 0.041875
3 2 16  0.223 0.0430375
5 2 1 0.3706  0.037868871
5 2 2 0.417 0.031657895
5 2 3 0.229 0.033885296
5 2 4 0.182 0.04056993
5 2 5 0.1645  0.039938929
5 2 6 0.191 0.028830313
5 2 7 0.328 0.02550453
5 2 8 0.305 0.033122707
5 2 9 0.306 0.047866208
5 2 10  0.21  0.096001987
5 2 11  0.177 0.115910218
5 2 12  0.193 0.068299775
5 2 13  0.188 0.034
5 2 14  0.223 0.02
5 2 15  0.223 0.0165
5 2 16  0.223 0.016
4 2 1 0.3706  0.045716349
4 2 2 0.417 0.031578947
4 2 3 0.229 0.047153871
4 2 4 0.182 0.020541737
4 2 5 0.1645  0.037916705
4 2 6 0.191 0.038612026
4 2 7 0.328 0.030889621
4 2 8 0.305 0.035670607
4 2 9 0.306 0.04935679
4 2 10  0.21  0.050678329
4 2 11  0.177 0.060135003
4 2 12  0.193 0.068947914
4 2 13  0.188 0.0375
4 2 14  0.223 0.027
4 2 15  0.223 0.022
4 2 16  0.223 0.0205
7 2 1 0.3706  0.010217337
7 2 2 0.417 0.011052632
7 2 3 0.229 0.012574366
7 2 4 0.182 0.022082367
7 2 5 0.1645  0.032355588
7 2 6 0.191 0.035008237
7 2 7 0.328 0.041186161
7 2 8 0.305 0.054095495
7 2 9 0.306 0.033874547
7 2 10  0.21  0.032586166
7 2 11  0.177 0.033274702
7 2 12  0.193 0.035434903
