 # nnodes
 5
 # samplesize
 500
 # pen_spp
 .5
 # pen_nodes
 .7
# Nspp
7
# Nyrs ABC/TAC data
16
# TAC_Spp ABC_Spp Yr  ABC TAC
7 2 13  0.188 0.03465
7 2 14  0.223 0.0245
7 2 15  0.223 0.03
7 2 16  0.223 0.0315
6 2 1 0.3706  0.023050836
6 2 2 0.417 0.023263158
6 2 3 0.229 0.034563787
6 2 4 0.182 0.035051906
6 2 5 0.1645  0.038179594
6 2 6 0.191 0.037106157
6 2 7 0.328 0.032362026
6 2 8 0.305 0.031208214
6 2 9 0.306 0.041083681
6 2 10  0.21  0.040287245
6 2 11  0.177 0.100640939
6 2 12  0.193 0.098968984
6 2 13  0.188 0.04185
6 2 14  0.223 0.04245
6 2 15  0.223 0.03947
6 2 16  0.223 0.0346875
1 3 1 0.241 0.674943625
1 3 2 0.2789  0.673684211
1 3 3 0.2506  0.681111469
1 3 4 0.372 0.667606451
1 3 5 0.238 0.657222879
1 3 6 0.23  0.684719934
1 3 7 0.277 0.643533773
1 3 8 0.278 0.606400326
1 3 9 0.233 0.573886635
1 3 10  0.22  0.562529457
1 3 11  0.212 0.497116025
1 3 12  0.191 0.570061511
1 3 13  0.176 0.7015
1 3 14  0.115 0.74305
1 3 15  0.114 0.746405
1 3 16  0.114 0.746525
2 3 1 0.241 0.116191545
2 3 2 0.2789  0.119473684
2 3 3 0.2506  0.119980405
2 3 4 0.372 0.093464903
2 3 5 0.238 0.083163972
2 3 6 0.23  0.09833196
2 3 7 0.277 0.128706755
2 3 8 0.278 0.137586629
2 3 9 0.233 0.137123355
2 3 10  0.22  0.106424492
2 3 11  0.212 0.08869913
2 3 12  0.191 0.096595146
2 3 13  0.176 0.094
2 3 14  0.115 0.1
2 3 15  0.114 0.10375
2 3 16  0.114 0.10775
3 3 1 0.241 0.092011438
3 3 2 0.2789  0.109289474
3 3 3 0.2506  0.070730806
3 3 4 0.372 0.120682705
3 3 5 0.238 0.111222333
3 3 6 0.23  0.077391371
3 3 7 0.277 0.097817133
3 3 8 0.278 0.101916021
3 3 9 0.233 0.116808784
3 3 10  0.22  0.111492325
3 3 11  0.212 0.104223983
3 3 12  0.191 0.061691766
3 3 13  0.176 0.0565
3 3 14  0.115 0.043
3 3 15  0.114 0.041875
3 3 16  0.114 0.0430375
5 3 1 0.241 0.037868871
5 3 2 0.2789  0.031657895
5 3 3 0.2506  0.033885296
5 3 4 0.372 0.04056993
5 3 5 0.238 0.039938929
5 3 6 0.23  0.028830313
5 3 7 0.277 0.02550453
5 3 8 0.278 0.033122707
5 3 9 0.233 0.047866208
5 3 10  0.22  0.096001987
5 3 11  0.212 0.115910218
5 3 12  0.191 0.068299775
5 3 13  0.176 0.034
5 3 14  0.115 0.02
5 3 15  0.114 0.0165
5 3 16  0.114 0.016
4 3 1 0.241 0.045716349
4 3 2 0.2789  0.031578947
4 3 3 0.2506  0.047153871
4 3 4 0.372 0.020541737
4 3 5 0.238 0.037916705
4 3 6 0.23  0.038612026
4 3 7 0.277 0.030889621
4 3 8 0.278 0.035670607
4 3 9 0.233 0.04935679
4 3 10  0.22  0.050678329
4 3 11  0.212 0.060135003
4 3 12  0.191 0.068947914
4 3 13  0.176 0.0375
4 3 14  0.115 0.027
4 3 15  0.114 0.022
4 3 16  0.114 0.0205
7 3 1 0.241 0.010217337
7 3 2 0.2789  0.011052632
7 3 3 0.2506  0.012574366
7 3 4 0.372 0.022082367
7 3 5 0.238 0.032355588
7 3 6 0.23  0.035008237
7 3 7 0.277 0.041186161
7 3 8 0.278 0.054095495
7 3 9 0.233 0.033874547
7 3 10  0.22  0.032586166
7 3 11  0.212 0.033274702
7 3 12  0.191 0.035434903
7 3 13  0.176 0.03465
7 3 14  0.115 0.0245
7 3 15  0.114 0.03
7 3 16  0.114 0.0315
6 3 1 0.241 0.023050836
6 3 2 0.2789  0.023263158
6 3 3 0.2506  0.034563787
6 3 4 0.372 0.035051906
6 3 5 0.238 0.038179594
6 3 6 0.23  0.037106157
6 3 7 0.277 0.032362026
6 3 8 0.278 0.031208214
6 3 9 0.233 0.041083681
6 3 10  0.22  0.040287245
6 3 11  0.212 0.100640939
6 3 12  0.191 0.098968984
6 3 13  0.176 0.04185
6 3 14  0.115 0.04245
6 3 15  0.114 0.03947
6 3 16  0.114 0.0346875
1 5 1 0.1559  0.674943625
1 5 2 0.188 0.673684211
1 5 3 0.2197  0.681111469
1 5 4 0.1996  0.667606451
1 5 5 0.191 0.657222879
1 5 6 0.225 0.684719934
1 5 7 0.255 0.643533773
1 5 8 0.218 0.606400326
1 5 9 0.1985  0.573886635
1 5 10  0.296 0.562529457
1 5 11  0.2313  0.497116025
1 5 12  0.1905  0.570061511
1 5 13  0.206 0.7015
1 5 14  0.2437  0.74305
1 5 15  0.219 0.746405
1 5 16  0.2784  0.746525
2 5 1 0.1559  0.116191545
2 5 2 0.188 0.119473684
2 5 3 0.2197  0.119980405
2 5 4 0.1996  0.093464903
2 5 5 0.191 0.083163972
2 5 6 0.225 0.09833196
2 5 7 0.255 0.128706755
2 5 8 0.218 0.137586629
2 5 9 0.1985  0.137123355
2 5 10  0.296 0.106424492
2 5 11  0.2313  0.08869913
2 5 12  0.1905  0.096595146
2 5 13  0.206 0.094
2 5 14  0.2437  0.1
2 5 15  0.219 0.10375
2 5 16  0.2784  0.10775
3 5 1 0.1559  0.092011438
3 5 2 0.188 0.109289474
3 5 3 0.2197  0.070730806
3 5 4 0.1996  0.120682705
3 5 5 0.191 0.111222333
3 5 6 0.225 0.077391371
3 5 7 0.255 0.097817133
3 5 8 0.218 0.101916021
3 5 9 0.1985  0.116808784
3 5 10  0.296 0.111492325
3 5 11  0.2313  0.104223983
3 5 12  0.1905  0.061691766
3 5 13  0.206 0.0565
3 5 14  0.2437  0.043
3 5 15  0.219 0.041875
3 5 16  0.2784  0.0430375
5 5 1 0.1559  0.037868871
5 5 2 0.188 0.031657895
5 5 3 0.2197  0.033885296
5 5 4 0.1996  0.04056993
5 5 5 0.191 0.039938929
5 5 6 0.225 0.028830313
5 5 7 0.255 0.02550453
5 5 8 0.218 0.033122707
5 5 9 0.1985  0.047866208
5 5 10  0.296 0.096001987
5 5 11  0.2313  0.115910218
5 5 12  0.1905  0.068299775
5 5 13  0.206 0.034
5 5 14  0.2437  0.02
5 5 15  0.219 0.0165
5 5 16  0.2784  0.016
4 5 1 0.1559  0.045716349
4 5 2 0.188 0.031578947
4 5 3 0.2197  0.047153871
4 5 4 0.1996  0.020541737
4 5 5 0.191 0.037916705
4 5 6 0.225 0.038612026
4 5 7 0.255 0.030889621
4 5 8 0.218 0.035670607
4 5 9 0.1985  0.04935679
4 5 10  0.296 0.050678329
4 5 11  0.2313  0.060135003
4 5 12  0.1905  0.068947914
4 5 13  0.206 0.0375
4 5 14  0.2437  0.027
4 5 15  0.219 0.022
4 5 16  0.2784  0.0205
7 5 1 0.1559  0.010217337
7 5 2 0.188 0.011052632
7 5 3 0.2197  0.012574366
7 5 4 0.1996  0.022082367
7 5 5 0.191 0.032355588
7 5 6 0.225 0.035008237
7 5 7 0.255 0.041186161
7 5 8 0.218 0.054095495
7 5 9 0.1985  0.033874547
7 5 10  0.296 0.032586166
7 5 11  0.2313  0.033274702
7 5 12  0.1905  0.035434903
7 5 13  0.206 0.03465
7 5 14  0.2437  0.0245
7 5 15  0.219 0.03
7 5 16  0.2784  0.0315
6 5 1 0.1559  0.023050836
6 5 2 0.188 0.023263158
6 5 3 0.2197  0.034563787
6 5 4 0.1996  0.035051906
6 5 5 0.191 0.038179594
6 5 6 0.225 0.037106157
6 5 7 0.255 0.032362026
6 5 8 0.218 0.031208214
6 5 9 0.1985  0.041083681
6 5 10  0.296 0.040287245
6 5 11  0.2313  0.100640939
6 5 12  0.1905  0.098968984
6 5 13  0.206 0.04185
6 5 14  0.2437  0.04245
6 5 15  0.219 0.03947
6 5 16  0.2784  0.0346875
1 4 1 0.171 0.674943625
1 4 2 0.2163  0.673684211
1 4 3 0.2465  0.681111469
1 4 4 0.2608  0.667606451
1 4 5 0.185 0.657222879
1 4 6 0.313 0.684719934
1 4 7 0.347 0.643533773
1 4 8 0.361 0.606400326
1 4 9 0.296 0.573886635
1 4 10  0.312 0.562529457
1 4 11  0.309 0.497116025
1 4 12  0.23  0.570061511
1 4 13  0.228 0.7015
1 4 14  0.225 0.74305
1 4 15  0.11  0.746405
1 4 16  0.139 0.746525
2 4 1 0.171 0.116191545
2 4 2 0.2163  0.119473684
2 4 3 0.2465  0.119980405
2 4 4 0.2608  0.093464903
2 4 5 0.185 0.083163972
2 4 6 0.313 0.09833196
2 4 7 0.347 0.128706755
2 4 8 0.361 0.137586629
2 4 9 0.296 0.137123355
2 4 10  0.312 0.106424492
2 4 11  0.309 0.08869913
2 4 12  0.23  0.096595146
2 4 13  0.228 0.094
2 4 14  0.225 0.1
2 4 15  0.11  0.10375
2 4 16  0.139 0.10775
3 4 1 0.171 0.092011438
3 4 2 0.2163  0.109289474
3 4 3 0.2465  0.070730806
3 4 4 0.2608  0.120682705
3 4 5 0.185 0.111222333
3 4 6 0.313 0.077391371
3 4 7 0.347 0.097817133
3 4 8 0.361 0.101916021
3 4 9 0.296 0.116808784
3 4 10  0.312 0.111492325
3 4 11  0.309 0.104223983
3 4 12  0.23  0.061691766
3 4 13  0.228 0.0565
3 4 14  0.225 0.043
3 4 15  0.11  0.041875
3 4 16  0.139 0.0430375
5 4 1 0.171 0.037868871
5 4 2 0.2163  0.031657895
5 4 3 0.2465  0.033885296
5 4 4 0.2608  0.04056993
5 4 5 0.185 0.039938929
5 4 6 0.313 0.028830313
5 4 7 0.347 0.02550453
5 4 8 0.361 0.033122707
5 4 9 0.296 0.047866208
5 4 10  0.312 0.096001987
5 4 11  0.309 0.115910218
5 4 12  0.23  0.068299775
5 4 13  0.228 0.034
5 4 14  0.225 0.02
5 4 15  0.11  0.0165
5 4 16  0.139 0.016
4 4 1 0.171 0.045716349
4 4 2 0.2163  0.031578947
4 4 3 0.2465  0.047153871
4 4 4 0.2608  0.020541737
4 4 5 0.185 0.037916705
4 4 6 0.313 0.038612026
4 4 7 0.347 0.030889621
4 4 8 0.361 0.035670607
4 4 9 0.296 0.04935679
4 4 10  0.312 0.050678329
4 4 11  0.309 0.060135003
4 4 12  0.23  0.068947914
4 4 13  0.228 0.0375
4 4 14  0.225 0.027
4 4 15  0.11  0.022
4 4 16  0.139 0.0205
7 4 1 0.171 0.010217337
7 4 2 0.2163  0.011052632
7 4 3 0.2465  0.012574366
7 4 4 0.2608  0.022082367
7 4 5 0.185 0.032355588
7 4 6 0.313 0.035008237
7 4 7 0.347 0.041186161
7 4 8 0.361 0.054095495
7 4 9 0.296 0.033874547
7 4 10  0.312 0.032586166
7 4 11  0.309 0.033274702
7 4 12  0.23  0.035434903
7 4 13  0.228 0.03465
7 4 14  0.225 0.0245
7 4 15  0.11  0.03
7 4 16  0.139 0.0315
6 4 1 0.171 0.023050836
6 4 2 0.2163  0.023263158
6 4 3 0.2465  0.034563787
6 4 4 0.2608  0.035051906
6 4 5 0.185 0.038179594
6 4 6 0.313 0.037106157
6 4 7 0.347 0.032362026
6 4 8 0.361 0.031208214
6 4 9 0.296 0.041083681
6 4 10  0.312 0.040287245
6 4 11  0.309 0.100640939
6 4 12  0.23  0.098968984
6 4 13  0.228 0.04185
6 4 14  0.225 0.04245
6 4 15  0.11  0.03947
6 4 16  0.139 0.0346875
1 7 1 0.021 0.674943625
1 7 2 0.024 0.673684211
1 7 3 0.024 0.681111469
1 7 4 0.043 0.667606451
1 7 5 0.1171  0.657222879
1 7 6 0.1225  0.684719934
1 7 7 0.125 0.643533773
1 7 8 0.116 0.606400326
1 7 9 0.0667  0.573886635
1 7 10  0.0643  0.562529457
1 7 11  0.0733  0.497116025
1 7 12  0.0708  0.570061511
1 7 13  0.0693  0.7015
1 7 14  0.049 0.74305
1 7 15  0.063 0.746405
1 7 16  0.0667  0.746525
2 7 1 0.021 0.116191545
2 7 2 0.024 0.119473684
2 7 3 0.024 0.119980405
2 7 4 0.043 0.093464903
2 7 5 0.1171  0.083163972
2 7 6 0.1225  0.09833196
2 7 7 0.125 0.128706755
2 7 8 0.116 0.137586629
2 7 9 0.0667  0.137123355
2 7 10  0.0643  0.106424492
2 7 11  0.0733  0.08869913
2 7 12  0.0708  0.096595146
2 7 13  0.0693  0.094
2 7 14  0.049 0.1
2 7 15  0.063 0.10375
2 7 16  0.0667  0.10775
3 7 1 0.021 0.092011438
3 7 2 0.024 0.109289474
3 7 3 0.024 0.070730806
3 7 4 0.043 0.120682705
3 7 5 0.1171  0.111222333
3 7 6 0.1225  0.077391371
3 7 7 0.125 0.097817133
3 7 8 0.116 0.101916021
3 7 9 0.0667  0.116808784
3 7 10  0.0643  0.111492325
3 7 11  0.0733  0.104223983
3 7 12  0.0708  0.061691766
3 7 13  0.0693  0.0565
3 7 14  0.049 0.043
3 7 15  0.063 0.041875
3 7 16  0.0667  0.0430375
5 7 1 0.021 0.037868871
5 7 2 0.024 0.031657895
5 7 3 0.024 0.033885296
5 7 4 0.043 0.04056993
5 7 5 0.1171  0.039938929
5 7 6 0.1225  0.028830313
5 7 7 0.125 0.02550453
5 7 8 0.116 0.033122707
5 7 9 0.0667  0.047866208
5 7 10  0.0643  0.096001987
5 7 11  0.0733  0.115910218
5 7 12  0.0708  0.068299775
5 7 13  0.0693  0.034
5 7 14  0.049 0.02
5 7 15  0.063 0.0165
5 7 16  0.0667  0.016
4 7 1 0.021 0.045716349
4 7 2 0.024 0.031578947
4 7 3 0.024 0.047153871
4 7 4 0.043 0.020541737
4 7 5 0.1171  0.037916705
4 7 6 0.1225  0.038612026
4 7 7 0.125 0.030889621
4 7 8 0.116 0.035670607
4 7 9 0.0667  0.04935679
4 7 10  0.0643  0.050678329
4 7 11  0.0733  0.060135003
4 7 12  0.0708  0.068947914
4 7 13  0.0693  0.0375
4 7 14  0.049 0.027
4 7 15  0.063 0.022
4 7 16  0.0667  0.0205
7 7 1 0.021 0.010217337
7 7 2 0.024 0.011052632
7 7 3 0.024 0.012574366
7 7 4 0.043 0.022082367
7 7 5 0.1171  0.032355588
7 7 6 0.1225  0.035008237
7 7 7 0.125 0.041186161
7 7 8 0.116 0.054095495
7 7 9 0.0667  0.033874547
7 7 10  0.0643  0.032586166
7 7 11  0.0733  0.033274702
7 7 12  0.0708  0.035434903
7 7 13  0.0693  0.03465
7 7 14  0.049 0.0245
7 7 15  0.063 0.03
7 7 16  0.0667  0.0315
6 7 1 0.021 0.023050836
6 7 2 0.024 0.023263158
6 7 3 0.024 0.034563787
6 7 4 0.043 0.035051906
6 7 5 0.1171  0.038179594
6 7 6 0.1225  0.037106157
6 7 7 0.125 0.032362026
6 7 8 0.116 0.031208214
6 7 9 0.0667  0.041083681
6 7 10  0.0643  0.040287245
6 7 11  0.0733  0.100640939
6 7 12  0.0708  0.098968984
6 7 13  0.0693  0.04185
6 7 14  0.049 0.04245
6 7 15  0.063 0.03947
6 7 16  0.0667  0.0346875
1 6 1 0.2733  0.674943625
1 6 2 0.1962  0.673684211
1 6 3 0.17187 0.681111469
1 6 4 0.134465  0.667606451
1 6 5 0.125655  0.657222879
1 6 6 0.153985  0.684719934
1 6 7 0.164085  0.643533773
1 6 8 0.193209  0.606400326
1 6 9 0.17186 0.573886635
1 6 10  0.210496  0.562529457
1 6 11  0.212176  0.497116025
1 6 12  0.197743  0.570061511
1 6 13  0.185789  0.7015
1 6 14  0.190275  0.74305
1 6 15  0.193912  0.746405
1 6 16  0.197465  0.746525
2 6 1 0.2733  0.116191545
2 6 2 0.1962  0.119473684
2 6 3 0.17187 0.119980405
2 6 4 0.134465  0.093464903
2 6 5 0.125655  0.083163972
2 6 6 0.153985  0.09833196
2 6 7 0.164085  0.128706755
2 6 8 0.193209  0.137586629
2 6 9 0.17186 0.137123355
2 6 10  0.210496  0.106424492
2 6 11  0.212176  0.08869913
2 6 12  0.197743  0.096595146
2 6 13  0.185789  0.094
2 6 14  0.190275  0.1
2 6 15  0.193912  0.10375
2 6 16  0.197465  0.10775
3 6 1 0.2733  0.092011438
3 6 2 0.1962  0.109289474
3 6 3 0.17187 0.070730806
3 6 4 0.134465  0.120682705
3 6 5 0.125655  0.111222333
3 6 6 0.153985  0.077391371
3 6 7 0.164085  0.097817133
3 6 8 0.193209  0.101916021
3 6 9 0.17186 0.116808784
3 6 10  0.210496  0.111492325
3 6 11  0.212176  0.104223983
3 6 12  0.197743  0.061691766
3 6 13  0.185789  0.0565
3 6 14  0.190275  0.043
3 6 15  0.193912  0.041875
3 6 16  0.197465  0.0430375
5 6 1 0.2733  0.037868871
5 6 2 0.1962  0.031657895
5 6 3 0.17187 0.033885296
5 6 4 0.134465  0.04056993
5 6 5 0.125655  0.039938929
5 6 6 0.153985  0.028830313
5 6 7 0.164085  0.02550453
5 6 8 0.193209  0.033122707
5 6 9 0.17186 0.047866208
5 6 10  0.210496  0.096001987
5 6 11  0.212176  0.115910218
5 6 12  0.197743  0.068299775
5 6 13  0.185789  0.034
5 6 14  0.190275  0.02
5 6 15  0.193912  0.0165
5 6 16  0.197465  0.016
4 6 1 0.2733  0.045716349
4 6 2 0.1962  0.031578947
4 6 3 0.17187 0.047153871
4 6 4 0.134465  0.020541737
4 6 5 0.125655  0.037916705
4 6 6 0.153985  0.038612026
4 6 7 0.164085  0.030889621
4 6 8 0.193209  0.035670607
4 6 9 0.17186 0.04935679
4 6 10  0.210496  0.050678329
4 6 11  0.212176  0.060135003
4 6 12  0.197743  0.068947914
4 6 13  0.185789  0.0375
4 6 14  0.190275  0.027
4 6 15  0.193912  0.022
4 6 16  0.197465  0.0205
7 6 1 0.2733  0.010217337
7 6 2 0.1962  0.011052632
7 6 3 0.17187 0.012574366
7 6 4 0.134465  0.022082367
7 6 5 0.125655  0.032355588
7 6 6 0.153985  0.035008237
7 6 7 0.164085  0.041186161
7 6 8 0.193209  0.054095495
7 6 9 0.17186 0.033874547
7 6 10  0.210496  0.032586166
7 6 11  0.212176  0.033274702
7 6 12  0.197743  0.035434903
7 6 13  0.185789  0.03465
7 6 14  0.190275  0.0245
7 6 15  0.193912  0.03
7 6 16  0.197465  0.0315
6 6 1 0.2733  0.023050836
6 6 2 0.1962  0.023263158
6 6 3 0.17187 0.034563787
6 6 4 0.134465  0.035051906
6 6 5 0.125655  0.038179594
6 6 6 0.153985  0.037106157
6 6 7 0.164085  0.032362026
6 6 8 0.193209  0.031208214
6 6 9 0.17186 0.041083681
6 6 10  0.210496  0.040287245
6 6 11  0.212176  0.100640939
6 6 12  0.197743  0.098968984
6 6 13  0.185789  0.04185
6 6 14  0.190275  0.04245
6 6 15  0.193912  0.03947
6 6 16  0.197465  0.0346875
