Stock,Alt,Sim,Year,SSB,Rec,Tot_biom,SPR_Implied,F,Ntot,Catch,ABC,OFL,AvgAge,AvgAgeTot,SexRatio,B100,B40,B35,MaxABC
spp1,1,1,2022,181439.0465116279,234.50608479965663,362878.0930232558,NA,0,NA,66481,66481,66481,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,66481
spp1,1,1,2023,181439.0465116279,100.22333474611501,362878.0930232558,NA,0,NA,83800,83800,83800,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,83800
spp1,1,1,2024,181439.0465116279,652.9581773491172,362878.0930232558,NA,0,NA,73495,73495,73495,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,73495
spp1,1,1,2025,181439.0465116279,483.7812118991414,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2026,181439.0465116279,273.3100475879509,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2027,181439.0465116279,90.2237958930299,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2028,181439.0465116279,1203.3013764692719,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2029,181439.0465116279,1317.1439513693435,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2030,181439.0465116279,300.43942994153184,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2031,181439.0465116279,390.63935856968146,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2032,181439.0465116279,53.532158573795435,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2033,181439.0465116279,159.81804715870447,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2034,181439.0465116279,190.39537267905894,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2035,181439.0465116279,181.8158642858551,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,1,2036,181439.0465116279,403.8470280142694,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2022,181439.0465116279,113.75376932914504,362878.0930232558,NA,0,NA,66481,66481,66481,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,66481
spp1,1,2,2023,181439.0465116279,212.8801147602442,362878.0930232558,NA,0,NA,83800,83800,83800,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,83800
spp1,1,2,2024,181439.0465116279,455.34062032486065,362878.0930232558,NA,0,NA,73495,73495,73495,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,73495
spp1,1,2,2025,181439.0465116279,449.34978792960254,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2026,181439.0465116279,194.9735292794224,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2027,181439.0465116279,288.4819882015603,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2028,181439.0465116279,221.09454777861401,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2029,181439.0465116279,148.76790552101718,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2030,181439.0465116279,747.1059933800622,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2031,181439.0465116279,236.84934523751198,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2032,181439.0465116279,172.2237735173587,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2033,181439.0465116279,310.29484878923165,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2034,181439.0465116279,1182.4954759501604,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2035,181439.0465116279,3668.862691553545,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,2,2036,181439.0465116279,94.2165607080432,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2022,181439.0465116279,108.6432693906088,362878.0930232558,NA,0,NA,66481,66481,66481,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,66481
spp1,1,3,2023,181439.0465116279,299.08026769801694,362878.0930232558,NA,0,NA,83800,83800,83800,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,83800
spp1,1,3,2024,181439.0465116279,170.25992944769044,362878.0930232558,NA,0,NA,73495,73495,73495,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,73495
spp1,1,3,2025,181439.0465116279,553.0250003248717,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2026,181439.0465116279,553.2998632280805,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2027,181439.0465116279,95.82197043723527,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2028,181439.0465116279,844.7784546941625,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2029,181439.0465116279,1352.142021510708,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2030,181439.0465116279,226.12011986115942,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2031,181439.0465116279,58.917019108809114,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2032,181439.0465116279,310.70641791376175,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2033,181439.0465116279,1958.945537512176,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2034,181439.0465116279,123.75792673806797,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2035,181439.0465116279,1301.099038736753,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,3,2036,181439.0465116279,278.7940091505932,362878.0930232558,NA,0,NA,NA,NA,NA,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,NA
spp1,1,4,2022,181439.0465116279,1141.2287883750116,362878.0930232558,NA,0,NA,66481,66481,66481,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,66481
spp1,1,4,2023,181439.0465116279,42.4063079907503,362878.0930232558,NA,0,NA,83800,83800,83800,NA,NA,NA,181439.0465116279,72575.61860465117,63503.66627906977,83800
