
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
286587 114635 100306 202309 173588 150260 
CV Recruit
0.406756 
Alternative 1 Alternative  Stock: bsai_akp
Catch bsai_akp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 25293.4 26616.5 15862 15862 15862 15862 1.45519e-11 
2022  0 25293.4 26616.5 11253 11253 11253 11253 0.000104605 
2023  0 25293.4 26616.5 18054 18054 18054 18054 0.000103571 
2024  0 25293.4 26616.5 18054 18054 18054 18054 5.18128e-05 
2025  0 25293.4 26616.5 37393.3 37540 37559.7 37770.8 123.966 
2026  0 25293.4 26616.5 37369.6 37681.3 37727.9 38180.2 261.226 
2027  0 25293.4 26616.5 37004.9 37608.3 37700.7 38598.7 507.576 
2028  0 25293.4 26616.5 36074.2 37119 37257.8 38687.2 865.347 
2029  0 25293.4 26616.5 34595.9 36139.6 36352.1 38321.8 1275.56 
2030  0 25293.4 26616.5 32667.6 34920.2 35108 37530.6 1659.93 
2031  0 25293.4 26616.5 30706.4 33553.4 33738.7 36503.7 1977.68 
2032  0 25293.4 26616.5 28741.9 32260.6 32428 35615.4 2233.89 
2033  0 25293.4 26616.5 27179.4 31207.5 31264.4 34894.8 2455.86 
2034  0 25293.4 26616.5 25716.4 30170.3 30251.3 34080.2 2662.59 

Spawning_Biomass bsai_akp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 286587 114635 100306 143363 143363 143363 143363 2.03727e-10 
2022 286587 114635 100306 143424 143424 143425 143425 0.351945 
2023 286587 114635 100306 149674 149716 149724 149792 39.6812 
2024 286587 114635 100306 157881 158053 158087 158311 147.585 
2025 286587 114635 100306 166252 166733 166827 167531 442.192 
2026 286587 114635 100306 166843 168124 168338 170255 1130.48 
2027 286587 114635 100306 165251 168018 168434 172464 2327.59 
2028 286587 114635 100306 160440 165288 166108 173181 4167.29 
2029 286587 114635 100306 152894 160178 161264 170950 6232.51 
2030 286587 114635 100306 143233 154098 154914 166422 8028.24 
2031 286587 114635 100306 133708 147523 148228 161070 9460.31 
2032 286587 114635 100306 124817 141104 142114 157494 10563.7 
2033 286587 114635 100306 117935 136650 136955 152964 11431.2 
2034 286587 114635 100306 113298 131623 132749 150894 11947.7 

Fishing_mortalitybsai_akp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.140028 0.170414 0.0651529 0.0651529 0.0651529 0.0651529 9.71445e-17 
2022  0 0.140028 0.170414 0.0462118 0.0462342 0.0462319 0.0462463 1.143e-05 
2023  0 0.140028 0.170414 0.0721877 0.0722838 0.0722739 0.0723358 4.66978e-05 
2024  0 0.140028 0.170414 0.0691094 0.0693148 0.0693007 0.0694348 0.000103846 
