Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom SPR_Implied Ntot SexRatio
1 Model_Proj.dat 2020 8049.94 9413.84 3321.27 52902.5 0.0739074 92104.6 0.667549 37775.9 0.499497
1 Model_Proj.dat 2021 7326.4 8567.92 7326.4 51913.9 0.184443 87894 0.4 46323.6 0.498928
1 Model_Proj.dat 2022 6139.32 7181.26 6139.32 47196.8 0.184443 79633.5 0.4 45511.5 0.497999
1 Model_Proj.dat 2023 5099.16 5966.52 5099.16 42396 0.184443 73905 0.4 40921.9 0.497716
1 Model_Proj.dat 2024 4264.29 4991.7 4264.29 37882 0.184443 68662.7 0.4 41813.2 0.498316
1 Model_Proj.dat 2025 3508.64 4110.74 3508.64 33940.4 0.175279 63690.3 0.415695 37551.2 0.499132
1 Model_Proj.dat 2026 2950.97 3461.21 2950.97 30992.1 0.15921 60266.3 0.445462 34893.3 0.500269
1 Model_Proj.dat 2027 2753.96 3232.08 2753.96 29261.3 0.149776 57427.6 0.46439 33432.9 0.501341
1 Model_Proj.dat 2028 2746.04 3223.02 2746.04 28423.5 0.14521 55336.3 0.473967 30383.6 0.502243
1 Model_Proj.dat 2029 2777.73 3259.52 2777.73 27979.4 0.142789 53583.6 0.479159 26997.1 0.50287
1 Model_Proj.dat 2030 2754.06 3230.96 2754.06 27556.8 0.140487 51514.4 0.484173 25388.3 0.502962
1 Model_Proj.dat 2031 2640.75 3097.66 2640.75 26957.1 0.137218 49182.3 0.491419 33793.5 0.501958
1 Model_Proj.dat 2032 2450.1 2874.13 2450.1 26123.7 0.132675 48064.6 0.501746 126105 0.500438
1 Model_Proj.dat 2033 2214.07 2597.7 2214.07 25117.9 0.127193 52106.4 0.514621 112711 0.500406
1 Model_Proj.dat 2034 1970.01 2311.99 1970.01 23995.3 0.121075 70869 0.529545 102496 0.500382
1 Model_Proj.dat 2035 1818.34 2135.08 1818.34 22890.5 0.115053 80207.5 0.544832 101821 0.500367
1 Model_Proj.dat 2036 2031.59 2387.55 2031.59 22478.4 0.112807 86185.6 0.55069 94496.6 0.500495
1 Model_Proj.dat 2037 3065.56 3604.09 3065.56 24540.9 0.124049 92324.7 0.522217 86552.4 0.500796
1 Model_Proj.dat 2038 5425.42 6372.27 5425.42 30383.7 0.155894 98703.9 0.451988 76450.6 0.501178
1 Model_Proj.dat 2039 8206.17 9621.16 8206.17 38169 0.184443 103919 0.4 68046.9 0.501134
1 Model_Proj.dat 2020 8049.94 9413.84 3321.27 52902.5 0.0739074 92104.6 0.667549 37775.9 0.499497
1 Model_Proj.dat 2021 7326.4 8567.92 7326.4 51913.9 0.184443 87895.3 0.4 46468.3 0.498931
1 Model_Proj.dat 2022 6139.32 7181.26 6139.32 47196.8 0.184443 79611.4 0.4 42275.6 0.497846
1 Model_Proj.dat 2023 5099.16 5966.53 5099.16 42396 0.184443 73790.2 0.4 41571.6 0.497752
1 Model_Proj.dat 2024 4264.25 4991.66 4264.25 37881.9 0.184443 67983.8 0.4 38625.2 0.498177
1 Model_Proj.dat 2025 3506.34 4108.02 3506.34 33939.5 0.175274 63219.7 0.415704 36158.7 0.499097
1 Model_Proj.dat 2026 2936.97 3444.72 2936.97 30978.3 0.159135 59337 0.44561 45009.1 0.5002
1 Model_Proj.dat 2027 2713.5 3184.51 2713.5 29183.9 0.149355 56981.5 0.465263 42920.3 0.501023
1 Model_Proj.dat 2028 2668.01 3131.44 2668.01 28222.9 0.144117 57292.2 0.476302 48962.4 0.501366
1 Model_Proj.dat 2029 2668.6 3131.65 2668.6 27645.8 0.140971 57357.4 0.483111 45627.6 0.50168
1 Model_Proj.dat 2030 2663.48 3125.26 2663.48 27149.1 0.138264 58366.1 0.489082 42467.8 0.501806
1 Model_Proj.dat 2031 2683.17 3148.44 2683.17 26758.4 0.136135 58211.1 0.493853 37426 0.501934
1 Model_Proj.dat 2032 2775.72 3257.26 2775.72 26668.1 0.135643 57542.8 0.494965 33096.7 0.502028
1 Model_Proj.dat 2033 2941.12 3451.22 2941.12 26936.8 0.137107 56246.2 0.491667 29259.9 0.502066
1 Model_Proj.dat 2034 3115.8 3655.43 3115.8 27405.1 0.13966 54594 0.485991 26955.5 0.50185
1 Model_Proj.dat 2035 3195.27 3747.54 3195.27 27741.2 0.141492 52570.9 0.481975 26850.6 0.50126
1 Model_Proj.dat 2036 3098.73 3633.45 3098.73 27625.4 0.14086 50334.3 0.483354 25779.5 0.500539
1 Model_Proj.dat 2037 2823.66 3310.76 2823.66 26924.4 0.13704 48101.6 0.491818 24049.6 0.499774
1 Model_Proj.dat 2038 2442.27 2864.16 2442.27 25726.3 0.13051 45635.7 0.506778 21824.1 0.499126
1 Model_Proj.dat 2039 2050.64 2405.92 2050.64 24225.5 0.122329 42981 0.526437 20535.6 0.498823
1 Model_Proj.dat 2020 8049.94 9413.84 3321.27 52902.5 0.0739074 92104.6 0.667549 37775.9 0.499497
1 Model_Proj.dat 2021 7326.4 8567.92 7326.4 51913.9 0.184443 87786 0.4 34218.3 0.498548
1 Model_Proj.dat 2022 6139.32 7181.26 6139.32 47196.8 0.184443 78938.9 0.4 31383.4 0.497099
1 Model_Proj.dat 2023 5098.48 5965.73 5098.48 42395.5 0.184443 70568.3 0.4 35553.7 0.497371
1 Model_Proj.dat 2024 4251.8 4976.96 4251.8 37874.9 0.184443 63505.4 0.4 30827 0.497709
1 Model_Proj.dat 2025 3426.9 4014.51 3426.9 33864.6 0.174866 58497.2 0.416423 27535.3 0.498743
1 Model_Proj.dat 2026 2702.35 3168.89 2702.35 30578.5 0.156955 53674.1 0.449884 24293.2 0.500131
1 Model_Proj.dat 2027 2256.5 2647.96 2256.5 28041.6 0.143129 49634.5 0.478426 22456.1 0.501564
1 Model_Proj.dat 2028 2001.13 2349.42 2001.13 26157.8 0.132861 46188 0.501318 22451.8 0.502657
1 Model_Proj.dat 2029 1860.68 2185.02 1860.68 24853.2 0.125751 43533.2 0.518087 22450.7 0.50339
1 Model_Proj.dat 2030 1754.9 2060.84 1754.9 23870.7 0.120396 41637.7 0.53124 22608.4 0.503725
1 Model_Proj.dat 2031 1628.27 1912.06 1628.27 22921.1 0.11522 40059.6 0.5444 20419.4 0.504173
1 Model_Proj.dat 2032 1473.34 1730.24 1473.34 21867.4 0.109477 38557.1 0.55954 20047.6 0.504101
1 Model_Proj.dat 2033 1318.87 1549.17 1318.87 20777 0.103534 36791.1 0.575829 18905.9 0.50415
1 Model_Proj.dat 2034 1194.22 1403.18 1194.22 19785.4 0.0981296 35282.6 0.591216 17513.8 0.504316
1 Model_Proj.dat 2035 1107.26 1301.34 1107.26 18982.6 0.093754 34036.5 0.60409 34616.4 0.502118
1 Model_Proj.dat 2036 1046.08 1229.63 1046.08 18354.3 0.0903296 33575.4 0.614435 34836.4 0.50203
1 Model_Proj.dat 2037 993.934 1168.43 993.934 17817.2 0.0874024 36306.3 0.62347 31496.6 0.502134
1 Model_Proj.dat 2038 947.349 1113.75 947.349 17316.2 0.0846716 37856 0.632064 30587.3 0.502061
1 Model_Proj.dat 2039 933.015 1097.1 933.015 16863.6 0.0822046 38339.9 0.639966 27920.1 0.502133
1 Model_Proj.dat 2020 8049.94 9413.84 3321.27 52902.5 0.0739074 92104.6 0.667549 37775.9 0.499497
1 Model_Proj.dat 2021 7326.4 8567.92 7326.4 51913.9 0.184443 87797.3 0.4 35486 0.4986
1 Model_Proj.dat 2022 6139.32 7181.26 6139.32 47196.8 0.184443 78989.1 0.4 30332 0.496998
1 Model_Proj.dat 2023 5098.55 5965.81 5098.55 42395.5 0.184443 70765.6 0.4 32386.4 0.497114
1 Model_Proj.dat 2024 4252.96 4978.34 4252.96 37875.5 0.184443 63360.6 0.4 36369.4 0.498059
1 Model_Proj.dat 2025 3432.77 4021.42 3432.77 33871.1 0.174901 58122 0.416361 33960.1 0.498986
1 Model_Proj.dat 2026 2712.42 3180.69 2712.42 30605.9 0.157105 54789.5 0.449589 30733.9 0.500111
1 Model_Proj.dat 2027 2261.04 2653.2 2261.04 28081.6 0.143347 51843.4 0.477956 27518.4 0.50127
1 Model_Proj.dat 2028 2000.22 2348.33 2000.22 26153 0.132835 49512 0.501377 70659.6 0.500838
1 Model_Proj.dat 2029 1892.65 2222.77 1892.65 24851.6 0.125742 49142.7 0.518107 63489.5 0.50121
1 Model_Proj.dat 2030 1887.74 2217.2 1887.74 24150.1 0.121919 56798.7 0.527452 66745.1 0.50131
1 Model_Proj.dat 2031 1931.2 2268.06 1931.2 23792.8 0.119971 60748.7 0.532303 70532.3 0.501283
1 Model_Proj.dat 2032 2062.96 2422.92 2062.96 23615.8 0.119007 64727.4 0.534728 63851.4 0.501407
1 Model_Proj.dat 2033 2442.41 2869.04 2442.41 24173.7 0.122047 69431.4 0.527133 158175 0.500572
1 Model_Proj.dat 2034 3205.71 3764.8 3205.71 26179.8 0.132981 76656.4 0.501041 143124 0.500631
1 Model_Proj.dat 2035 4276.09 5017.79 4276.09 29236.5 0.149641 99757.1 0.46467 128401 0.500626
1 Model_Proj.dat 2036 5416.14 6349.1 5416.14 32336.5 0.166537 112188 0.431518 118688 0.500437
1 Model_Proj.dat 2037 6677.55 7822.99 6677.55 35073.4 0.181454 118793 0.405022 105861 0.500133
1 Model_Proj.dat 2038 7972.2 9342.34 7972.2 38597.3 0.184443 122305 0.4 96049.1 0.499853
1 Model_Proj.dat 2039 9493.13 11126.1 9493.13 44477.2 0.184443 124662 0.4 86731.8 0.499559
1 Model_Proj.dat 2020 8049.94 9413.84 3321.27 52902.5 0.0739074 92104.6 0.667549 37775.9 0.499497
1 Model_Proj.dat 2021 7326.4 8567.92 7326.4 51913.9 0.184443 87816.7 0.4 37661.4 0.498681
1 Model_Proj.dat 2022 6139.32 7181.26 6139.32 47196.8 0.184443 79131.4 0.4 34834 0.497386
1 Model_Proj.dat 2023 5098.67 5965.95 5098.67 42395.6 0.184443 71431.1 0.4 30403.8 0.496926
1 Model_Proj.dat 2024 4255.32 4981.12 4255.32 37876.9 0.184443 64722.5 0.4 54895.2 0.498715
1 Model_Proj.dat 2025 3449.19 4040.74 3449.19 33885.6 0.17498 60192.4 0.416221 116034 0.499707
1 Model_Proj.dat 2026 2764.84 3242.34 2764.84 30690.2 0.157565 63803.6 0.448683 107630 0.500044
1 Model_Proj.dat 2027 2377.11 2789.57 2377.11 28350.3 0.144811 77024 0.474817 96720.1 0.500384
1 Model_Proj.dat 2028 2269.08 2664.33 2269.08 26747.8 0.136077 84084.1 0.493984 86190 0.500738
1 Model_Proj.dat 2029 2640.83 3102.7 2640.83 26351.2 0.133915 88028.1 0.498897 84099.9 0.501076
1 Model_Proj.dat 2030 3859.87 4535.07 3859.87 28493.6 0.145592 92703.5 0.473155 254472 0.50047
1 Model_Proj.dat 2031 6179.14 7251.66 6179.14 33735.2 0.174161 105467 0.417671 227585 0.500601
1 Model_Proj.dat 2032 7979.04 9351.96 7979.04 40102.1 0.184443 146064 0.4 205901 0.500537
1 Model_Proj.dat 2033 8878.06 10396.2 8878.06 45102.7 0.184443 166869 0.4 182132 0.500158
1 Model_Proj.dat 2034 9765.2 11434.5 9765.2 48324.6 0.184443 177659 0.4 169652 0.49966
1 Model_Proj.dat 2035 11493.5 13468.4 11493.5 52946.9 0.184443 182527 0.4 150021 0.499347
1 Model_Proj.dat 2036 14062.9 16485.7 14062.9 62475.7 0.184443 188128 0.4 132797 0.499168
1 Model_Proj.dat 2037 16489.1 19321.1 16489.1 74947 0.184443 192103 0.4 114188 0.49853
1 Model_Proj.dat 2038 17760.7 20793.7 17760.7 85256.3 0.184443 191618 0.4 97845.2 0.496828
1 Model_Proj.dat 2039 17570.5 20556.2 17570.5 90318.3 0.184443 184668 0.4 82585.8 0.493937
1 Model_Proj.dat 2020 8049.94 9413.84 3321.27 52902.5 0.0739074 92104.6 0.667549 37775.9 0.499497
1 Model_Proj.dat 2021 7326.4 8567.92 7326.4 51913.9 0.184443 87785.7 0.4 34184.8 0.498547
1 Model_Proj.dat 2022 6139.32 7181.26 6139.32 47196.8 0.184443 78918.6 0.4 29279.4 0.49689
1 Model_Proj.dat 2023 5098.48 5965.72 5098.48 42395.5 0.184443 70400.3 0.4 28616.8 0.496734
1 Model_Proj.dat 2024 4251.65 4976.79 4251.65 37874.8 0.184443 62676.7 0.4 26147.1 0.497299
1 Model_Proj.dat 2025 3424.28 4011.42 3424.28 33863 0.174857 56457.7 0.416438 26581.4 0.498696
1 Model_Proj.dat 2026 2685.1 3148.56 2685.1 30561.9 0.156865 51393.6 0.450062 26875.5 0.500103
1 Model_Proj.dat 2027 2193.54 2573.87 2193.54 27940.4 0.142577 47911.6 0.479618 28681.2 0.501168
1 Model_Proj.dat 2028 1854.77 2177.38 1854.77 25798.1 0.130901 45444.5 0.505864 27645.7 0.502041
1 Model_Proj.dat 2029 1624.19 1907.4 1624.19 24058.7 0.121421 43872.4 0.528686 25200.2 0.50288
1 Model_Proj.dat 2030 1480.57 1739.24 1480.57 22694.6 0.113986 42395.2 0.547605 23225 0.503594
1 Model_Proj.dat 2031 1411.28 1658.21 1411.28 21707.4 0.108605 41375.8 0.56189 78624.8 0.501146
1 Model_Proj.dat 2032 1399.97 1645.09 1399.97 21079.3 0.105182 42595.4 0.571248 71232 0.501304
1 Model_Proj.dat 2033 1419.97 1668.55 1419.97 20745.2 0.103361 53380.8 0.576314 63973.1 0.501432
1 Model_Proj.dat 2034 1459.97 1715.48 1459.97 20546.8 0.10228 58798.4 0.579351 60702.3 0.501431
1 Model_Proj.dat 2035 1611.74 1894.16 1611.74 20542.2 0.102255 61783.5 0.579422 55881.5 0.501479
1 Model_Proj.dat 2036 2082.22 2447.62 2082.22 21575.6 0.107887 64173.2 0.563836 53540.7 0.501553
1 Model_Proj.dat 2037 3046.29 3579.37 3046.29 24531.2 0.123996 66852.2 0.522346 52032.3 0.501611
1 Model_Proj.dat 2038 4343.45 5097.42 4343.45 28635.9 0.146368 69813.3 0.471512 46360.1 0.501526
1 Model_Proj.dat 2039 5404.41 6333.28 5404.41 32097.5 0.165235 71387.8 0.43395 40826.6 0.500725
1 Model_Proj.dat 2020 8049.94 9413.84 3321.27 52902.5 0.0739074 92104.6 0.667549 37775.9 0.499497
1 Model_Proj.dat 2021 7326.4 8567.92 7326.4 51913.9 0.184443 87792.4 0.4 34931.7 0.498578
1 Model_Proj.dat 2022 6139.32 7181.26 6139.32 47196.8 0.184443 79139.5 0.4 50104.7 0.498183
1 Model_Proj.dat 2023 5098.52 5965.77 5098.52 42395.5 0.184443 71680.2 0.4 44301.5 0.49789
1 Model_Proj.dat 2024 4253.53 4979.01 4253.53 37876 0.184443 68209.4 0.4 45433.6 0.498446
1 Model_Proj.dat 2025 3449.59 4041.25 3449.59 33879 0.174945 64010.5 0.416285 44610.9 0.499234
