S-r Parameters
Steepness Rzero Alpha Beta SigmaR Bzero Phi 
 0.719047  0.024865  3.21999e-05  0.697932  7133.1  0.25455 

Stock Run Source SSB Rec
EBS_Pollock_2022 std Data 18004.6 30714
EBS_Pollock_2022 std Data 1076.83 71531.4
EBS_Pollock_2022 std Data 1152.38 28482.4
EBS_Pollock_2022 std Data 1193.49 30315.3
EBS_Pollock_2022 std Data 1400.45 17189.2
EBS_Pollock_2022 std Data 2214.58 48571.4
EBS_Pollock_2022 std Data 3244.78 13068.1
EBS_Pollock_2022 std Data 3910.04 30588
EBS_Pollock_2022 std Data 4105.82 11924.5
EBS_Pollock_2022 std Data 4277.32 6167.3
EBS_Pollock_2022 std Data 4369.72 5216.57
EBS_Pollock_2022 std Data 4335.87 10548.2
EBS_Pollock_2022 std Data 4161.45 48061
EBS_Pollock_2022 std Data 3615.3 25116.7
EBS_Pollock_2022 std Data 2825.38 22016.8
EBS_Pollock_2022 std Data 2062.73 44120.1
EBS_Pollock_2022 std Data 2147.04 14964.7
EBS_Pollock_2022 std Data 2986.26 10354.1
EBS_Pollock_2022 std Data 3314.38 22267.1
EBS_Pollock_2022 std Data 3505.58 30279.7
EBS_Pollock_2022 std Data 3551.38 14922
EBS_Pollock_2022 std Data 3307.02 16008.2
EBS_Pollock_2022 std Data 3044.22 25007.2
EBS_Pollock_2022 std Data 3074.54 34865
EBS_Pollock_2022 std Data 3099.53 23339.9
EBS_Pollock_2022 std Data 3112.33 14243.2
EBS_Pollock_2022 std Data 2931.5 6445.94
EBS_Pollock_2022 std Data 3103.91 4501.63
EBS_Pollock_2022 std Data 3219.51 11333.1
EBS_Pollock_2022 std Data 2958 22816
EBS_Pollock_2022 std Data 2432.29 11419.9
EBS_Pollock_2022 std Data 2015.28 42122.8
EBS_Pollock_2022 std Data 1491.65 19388.4
EBS_Pollock_2022 std Data 1546.53 12353.2
EBS_Pollock_2022 std Data 1722.66 10812.6
EBS_Pollock_2022 std Data 1963.08 42793.2
EBS_Pollock_2022 std Data 2163.75 46689.7
EBS_Pollock_2022 std Data 2330.9 16213.7
EBS_Pollock_2022 std Data 2174.55 6798.14
EBS_Pollock_2022 std Data 2177.59 9029.52
EBS_Pollock_2022 std Data 2804.03 18606
EBS_Pollock_2022 std Data 3220.18 75703.1
EBS_Pollock_2022 std Data 2876.51 21293.4
EBS_Pollock_2022 std Data 2588.14 18685.3
EBS_Pollock_2022 std Fit 0 0
EBS_Pollock_2022 std Fit 356.655 9811.88
EBS_Pollock_2022 std Fit 713.31 14912.3
EBS_Pollock_2022 std Fit 1069.96 18037.8
EBS_Pollock_2022 std Fit 1426.62 20149.4
EBS_Pollock_2022 std Fit 1783.27 21671.6
EBS_Pollock_2022 std Fit 2139.93 22820.9
EBS_Pollock_2022 std Fit 2496.58 23719.4
EBS_Pollock_2022 std Fit 2853.24 24441.2
EBS_Pollock_2022 std Fit 3209.89 25033.6
EBS_Pollock_2022 std Fit 3566.55 25528.7
EBS_Pollock_2022 std Fit 3923.2 25948.5
EBS_Pollock_2022 std Fit 4279.86 26309.1
EBS_Pollock_2022 std Fit 4636.51 26622.1
EBS_Pollock_2022 std Fit 4993.17 26896.4
EBS_Pollock_2022 std Fit 5349.82 27138.7
EBS_Pollock_2022 std Fit 5706.48 27354.4
EBS_Pollock_2022 std Fit 6063.13 27547.5
EBS_Pollock_2022 std Fit 6419.79 27721.5
EBS_Pollock_2022 std Fit 6776.44 27879.1
EBS_Pollock_2022 std Fit 7133.1 28022.4
EBS_Pollock_2022 std Fit 7489.75 28153.3
EBS_Pollock_2022 std Fit 7846.41 28273.5
EBS_Pollock_2022 std Fit 8203.06 28384
EBS_Pollock_2022 std Fit 8559.72 28486.2
EBS_Pollock_2022 std Fit 8916.37 28580.8
EBS_Pollock_2022 std Fit 9273.03 28668.6
EBS_Pollock_2022 std Fit 9629.68 28750.5
EBS_Pollock_2022 std Fit 9986.34 28826.9
EBS_Pollock_2022 std Fit 10343 28898.5
EBS_Pollock_2022 std Fit 10699.6 28965.5

