
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
8813.34 3525.33 3084.67 0.737572 1.04356 3567.22 
CV Recruit
0.64309 
Alternative 1 Alternative  Stock: Rougheye
Catch Rougheye
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 404.989 433.626 453 453 453 453 5.68434e-12 
2025  0 404.989 433.626 570.887 570.887 570.887 570.887 1.78276e-09 
2026  0 404.989 433.626 711.931 711.937 711.939 711.951 0.00635 
2027  0 404.989 433.626 758.369 758.384 758.388 758.417 0.0157566 
2028  0 404.989 433.626 791.088 791.124 791.132 791.2 0.0373779 
2029  0 404.989 433.626 811.426 811.508 811.526 811.679 0.0852466 
2030  0 404.989 433.626 821.622 821.799 821.84 822.176 0.18691 
2031  0 404.989 433.626 824.057 824.432 824.518 825.232 0.396999 
2032  0 404.989 433.626 820.724 821.49 821.666 823.132 0.809888 
2033  0 404.989 433.626 813.148 814.661 815.004 817.853 1.57929 
2034  0 404.989 433.626 802.043 804.905 805.489 810.649 2.89242 
2035  0 404.989 433.626 787.981 792.911 793.893 802.458 4.89233 
2036  0 404.989 433.626 771.537 779.541 780.873 794.199 7.56133 
2037  0 404.989 433.626 753.013 764.52 766.378 785.124 10.6654 

Spawning_Biomass Rougheye
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 8813.34 3525.33 3084.67 3522.8 3522.8 3522.8 3522.8 6.09361e-11 
2025 8813.34 3525.33 3084.67 3729.37 3729.44 3729.47 3729.65 0.095363 
2026 8813.34 3525.33 3084.67 3942.94 3943.13 3943.17 3943.54 0.201366 
2027 8813.34 3525.33 3084.67 4159.94 4160.32 4160.38 4161.02 0.357803 
2028 8813.34 3525.33 3084.67 4392.64 4393.26 4393.38 4394.45 0.605569 
2029 8813.34 3525.33 3084.67 4640.41 4641.43 4641.61 4643.29 0.974455 
2030 8813.34 3525.33 3084.67 4901.14 4902.76 4903.02 4905.67 1.51263 
2031 8813.34 3525.33 3084.67 5172.09 5174.56 5174.95 5178.93 2.28843 
2032 8813.34 3525.33 3084.67 5449.04 5452.7 5453.29 5459.17 3.37916 
2033 8813.34 3525.33 3084.67 5725.76 5731.16 5731.99 5740.42 4.89055 
2034 8813.34 3525.33 3084.67 5992.62 6000.39 6001.56 6013.66 6.93947 
2035 8813.34 3525.33 3084.67 6239.95 6250.94 6252.5 6269.05 9.66128 
2036 8813.34 3525.33 3084.67 6459.39 6474.57 6476.64 6499.57 13.2208 
2037 8813.34 3525.33 3084.67 6638.96 6659.43 6662.3 6693.91 17.7799 

Fishing_mortalityRougheye
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0347349 0.0409186 0.0266421 0.0266421 0.0266421 0.0266421 5.20417e-16 
2025  0 0.0347349 0.0409186 0.030356 0.0303562 0.0303562 0.0303563 1.04418e-07 
2026  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2027  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2028  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2029  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2030  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2031  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2032  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2033  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2034  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2035  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2036  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 
2037  0 0.0347349 0.0409186 0.0347349 0.0347349 0.0347349 0.0347349 2.01228e-16 

Total_BiomassRougheye
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 27518.6 15520.1 14433.8 27602.3 27602.3 27602.3 27602.3 2.91038e-11 
2025 27518.6 15520.1 14433.8 28253.8 28298.7 28313.7 28421.7 56.3822 
2026 27518.6 15520.1 14433.8 28693.4 28791.8 28813.8 28996.7 99.2153 
2027 27518.6 15520.1 14433.8 28878.1 29030.2 29055.1 29313.3 142.333 
2028 27518.6 15520.1 14433.8 28910.1 29125.9 29157.1 29508.3 194.677 
2029 27518.6 15520.1 14433.8 28812.5 29108.4 29144.1 29584.1 250.827 
2030 27518.6 15520.1 14433.8 28608.8 28975.4 29018.5 29563.5 310.623 
2031 27518.6 15520.1 14433.8 28301.9 28749.1 28806.7 29457.3 373.658 
2032 27518.6 15520.1 14433.8 27936.7 28464.5 28523.9 29286.2 439.085 
2033 27518.6 15520.1 14433.8 27485.5 28126.1 28183.7 29052 506.818 
2034 27518.6 15520.1 14433.8 27001.4 27740.1 27796.9 28828.1 576.155 
2035 27518.6 15520.1 14433.8 26448.2 27307.6 27369.9 28573.4 646.058 
2036 27518.6 15520.1 14433.8 25884.2 26845.5 26918 28217.5 718.694 
2037 27518.6 15520.1 14433.8 25293.7 26360.6 26440.4 27848.5 787.33 
Alternative 2 Alternative  Stock: Rougheye
Catch Rougheye
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 404.989 433.626 453 453 453 453 5.68434e-12 
2025  0 404.989 433.626 570.887 570.887 570.887 570.887 1.78276e-09 
2026  0 404.989 433.626 641.68 641.685 641.686 641.697 0.0057151 
2027  0 404.989 433.626 685.548 685.562 685.565 685.591 0.0141813 
2028  0 404.989 433.626 717.256 717.288 717.295 717.357 0.0336416 
2029  0 404.989 433.626 737.903 737.976 737.992 738.13 0.0767275 
2030  0 404.989 433.626 749.413 749.572 749.609 749.912 0.168241 
2031  0 404.989 433.626 753.871 754.208 754.285 754.928 0.357386 
2032  0 404.989 433.626 753.03 753.72 753.878 755.198 0.729225 
2033  0 404.989 433.626 748.24 749.603 749.911 752.478 1.42249 
2034  0 404.989 433.626 740.124 742.705 743.23 747.881 2.60678 
2035  0 404.989 433.626 729.192 733.637 734.524 742.256 4.41309 
2036  0 404.989 433.626 715.962 723.185 724.388 736.431 6.829 
2037  0 404.989 433.626 700.676 711.09 712.765 729.729 9.64707 

Spawning_Biomass Rougheye
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 8813.34 3525.33 3084.67 3522.8 3522.8 3522.8 3522.8 6.09361e-11 
2025 8813.34 3525.33 3084.67 3729.37 3729.44 3729.47 3729.65 0.095363 
2026 8813.34 3525.33 3084.67 3945.11 3945.31 3945.35 3945.72 0.201367 
2027 8813.34 3525.33 3084.67 4175.89 4176.27 4176.33 4176.97 0.357807 
2028 8813.34 3525.33 3084.67 4423.9 4424.52 4424.64 4425.71 0.605584 
2029 8813.34 3525.33 3084.67 4688.67 4689.68 4689.86 4691.54 0.974501 
2030 8813.34 3525.33 3084.67 4968.19 4969.81 4970.07 4972.72 1.51277 
2031 8813.34 3525.33 3084.67 5259.81 5262.28 5262.66 5266.65 2.2888 
2032 8813.34 3525.33 3084.67 5559.28 5562.95 5563.54 5569.42 3.38018 
2033 8813.34 3525.33 3084.67 5860.3 5865.71 5866.55 5874.98 4.89319 
2034 8813.34 3525.33 3084.67 6152.96 6160.73 6161.91 6174.02 6.94607 
2035 8813.34 3525.33 3084.67 6427.15 6438.15 6439.72 6456.3 9.67689 
2036 8813.34 3525.33 3084.67 6674.04 6689.23 6691.32 6714.34 13.2555 
2037 8813.34 3525.33 3084.67 6880.9 6901.45 6904.31 6936.12 17.8519 

Fishing_mortalityRougheye
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0347349 0.0409186 0.0266421 0.0266421 0.0266421 0.0266421 5.20417e-16 
2025  0 0.0347349 0.0409186 0.030356 0.0303562 0.0303562 0.0303563 1.04418e-07 
2026  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2027  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2028  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2029  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2030  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2031  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2032  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2033  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2034  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2035  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2036  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 
2037  0 0.0347349 0.0409186 0.0312614 0.0312614 0.0312614 0.0312614 4.51028e-16 

Total_BiomassRougheye
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 27518.6 15520.1 14433.8 27602.3 27602.3 27602.3 27602.3 2.91038e-11 
2025 27518.6 15520.1 14433.8 28253.8 28298.7 28313.7 28421.7 56.3822 
2026 27518.6 15520.1 14433.8 28693.4 28791.8 28813.8 28996.7 99.2153 
2027 27518.6 15520.1 14433.8 28951 29103.1 29127.9 29386.2 142.334 
2028 27518.6 15520.1 14433.8 29058.9 29274.7 29305.8 29657.1 194.68 
2029 27518.6 15520.1 14433.8 29038.3 29334.2 29370 29809.9 250.834 
2030 27518.6 15520.1 14433.8 28910.9 29277.5 29320.7 29865.6 310.639 
2031 27518.6 15520.1 14433.8 28678.1 29125.3 29182.9 29833.7 373.695 
2032 27518.6 15520.1 14433.8 28383.8 28911.7 28971.1 29733.4 439.162 
2033 27518.6 15520.1 14433.8 27999.7 28640.3 28698 29566.5 506.972 
2034 27518.6 15520.1 14433.8 27577.9 28316.9 28373.6 29405 576.45 
2035 27518.6 15520.1 14433.8 27082.1 27942.3 28004.4 29209.4 646.6 
2036 27518.6 15520.1 14433.8 26570.5 27532.5 27605.5 28906.1 719.633 
2037 27518.6 15520.1 14433.8 26026.9 27096.6 27175.7 28585.3 788.871 
Alternative 3 Alternative  Stock: Rougheye
Catch Rougheye
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 404.989 433.626 453 453 453 453 5.68434e-12 
2025  0 404.989 433.626 570.887 570.887 570.887 570.887 1.78276e-09 
2026  0 404.989 433.626 623.337 623.342 623.344 623.354 0.00554963 
2027  0 404.989 433.626 666.462 666.475 666.478 666.504 0.0137708 
2028  0 404.989 433.626 697.828 697.859 697.866 697.926 0.0326678 
2029  0 404.989 433.626 718.476 718.547 718.563 718.697 0.0745071 
2030  0 404.989 433.626 730.253 730.408 730.443 730.737 0.163375 
2031  0 404.989 433.626 735.167 735.495 735.57 736.193 0.347059 
2032  0 404.989 433.626 734.91 735.58 735.734 737.016 0.708191 
2033  0 404.989 433.626 730.787 732.111 732.41 734.903 1.38159 
2034  0 404.989 433.626 723.398 725.906 726.416 730.934 2.53221 
2035  0 404.989 433.626 713.237 717.556 718.416 725.931 4.28784 
2036  0 404.989 433.626 700.805 707.823 708.993 720.701 6.63729 
2037  0 404.989 433.626 686.331 696.458 698.086 714.582 9.37997 

Spawning_Biomass Rougheye
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 8813.34 3525.33 3084.67 3522.8 3522.8 3522.8 3522.8 6.09361e-11 
2025 8813.34 3525.33 3084.67 3729.37 3729.44 3729.47 3729.65 0.095363 
2026 8813.34 3525.33 3084.67 3945.68 3945.87 3945.92 3946.29 0.201367 
2027 8813.34 3525.33 3084.67 4180.06 4180.43 4180.5 4181.14 0.357808 
2028 8813.34 3525.33 3084.67 4432.08 4432.7 4432.82 4433.89 0.605587 
2029 8813.34 3525.33 3084.67 4701.33 4702.34 4702.52 4704.2 0.974513 
2030 8813.34 3525.33 3084.67 4985.82 4987.44 4987.7 4990.35 1.5128 
2031 8813.34 3525.33 3084.67 5282.92 5285.39 5285.77 5289.76 2.2889 
2032 8813.34 3525.33 3084.67 5588.39 5592.06 5592.65 5598.53 3.38044 
2033 8813.34 3525.33 3084.67 5895.9 5901.3 5902.14 5910.57 4.89388 
2034 8813.34 3525.33 3084.67 6195.47 6203.23 6204.41 6216.52 6.94779 
2035 8813.34 3525.33 3084.67 6476.88 6487.88 6489.45 6506.04 9.68096 
2036 8813.34 3525.33 3084.67 6731.17 6746.37 6748.46 6771.5 13.2646 
2037 8813.34 3525.33 3084.67 6945.42 6965.99 6968.85 7000.71 17.8707 

Fishing_mortalityRougheye
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0347349 0.0409186 0.0266421 0.0266421 0.0266421 0.0266421 5.20417e-16 
2025  0 0.0347349 0.0409186 0.030356 0.0303562 0.0303562 0.0303563 1.04418e-07 
2026  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
2027  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
2028  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
2029  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
2030  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
2031  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
2032  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
2033  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
2034  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
2035  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
2036  0 0.0347349 0.0409186 0.0303562 0.0303562 0.0303562 0.0303562 5.20417e-17 
