Stock Year Catch ABC OFL SSB TotBiom
Model17.08.25_PROJ.dat 2018 15812.3 15812.3 18971.8 38994.3 156482
Model17.08.25_PROJ.dat 2019 14737.5 14737.5 17681.6 37343.5 179084
Model17.08.25_PROJ.dat 2020 14480.1 14480.1 17398.2 36409.7 212147
Model17.08.25_PROJ.dat 2021 20954.6 20954.6 25169.1 41820.8 254926
Model17.08.25_PROJ.dat 2022 36687.1 36687.1 43799.9 55951.2 301882
Model17.08.25_PROJ.dat 2023 50195.1 50195.1 59762.1 67780.5 333735
Model17.08.25_PROJ.dat 2024 57056 57056 67854.4 73877.8 348409
Model17.08.25_PROJ.dat 2025 59432.8 59432.8 70655.7 76154.9 353251
Model17.08.25_PROJ.dat 2026 59937.4 59937.4 71244.5 76607.5 354529
Model17.08.25_PROJ.dat 2027 59889.6 59889.6 71180.3 76592.1 354725
Model17.08.25_PROJ.dat 2028 59871.6 59871.6 71151.9 76569.3 354586
Model17.08.25_PROJ.dat 2029 60005.6 60005.6 71327.7 76719.1 353861
Model17.08.25_PROJ.dat 2030 60031.6 60031.6 71344.9 76905.3 352943
