Stock Alt Year Catch ABC OFL SSB TotBiom
Model_1_goa_re_2021.dat 1 2023 2.023 0.72914 0.875631 7.68781 24.4221
Model_1_goa_re_2021.dat 1 2024 2.024 0.662395 0.795489 6.98524 22.7212
Model_1_goa_re_2021.dat 1 2025 0 0.602704 0.723819 6.63667 21.0618
Model_1_goa_re_2021.dat 1 2026 0.624173 0.624173 0.749602 6.66937 21.4722
Model_1_goa_re_2021.dat 1 2027 0.630738 0.630738 0.757458 6.56793 21.2675
Model_1_goa_re_2021.dat 1 2028 0.615866 0.615866 0.739602 6.46944 21.0745
Model_1_goa_re_2021.dat 1 2029 0.601669 0.601669 0.722561 6.37249 20.9161
Model_1_goa_re_2021.dat 1 2030 0.591117 0.591117 0.709894 6.27776 20.789
Model_1_goa_re_2021.dat 1 2031 0.582698 0.582698 0.699788 6.18708 20.6881
Model_1_goa_re_2021.dat 1 2032 0.575195 0.575195 0.690781 6.10524 20.6109
Model_1_goa_re_2021.dat 1 2033 0.569624 0.569624 0.684095 6.02755 20.5545
Model_1_goa_re_2021.dat 1 2034 0.565768 0.565768 0.679455 5.96416 20.5163
Model_1_goa_re_2021.dat 1 2035 0.562178 0.562178 0.67388 5.91474 20.4907
Model_1_goa_re_2021.dat 1 2036 0.558603 0.558603 0.669264 5.88342 20.4757
Model_1_goa_re_2021.dat 2 2023 2.023 0.72914 0.875631 7.68781 24.4221
Model_1_goa_re_2021.dat 2 2024 2.024 0.662395 0.795489 6.98524 22.7212
Model_1_goa_re_2021.dat 2 2025 0 0.602704 0.723819 6.63667 21.0618
Model_1_goa_re_2021.dat 2 2026 0.624173 0.624173 0.749602 6.66937 21.4722
Model_1_goa_re_2021.dat 2 2027 0.630738 0.630738 0.757458 6.56793 21.2675
Model_1_goa_re_2021.dat 2 2028 0.615866 0.615866 0.739602 6.46944 21.0745
Model_1_goa_re_2021.dat 2 2029 0.601669 0.601669 0.722561 6.37249 20.9161
Model_1_goa_re_2021.dat 2 2030 0.591117 0.591117 0.709894 6.27776 20.789
Model_1_goa_re_2021.dat 2 2031 0.582698 0.582698 0.699788 6.18708 20.6881
Model_1_goa_re_2021.dat 2 2032 0.575195 0.575195 0.690781 6.10524 20.6109
Model_1_goa_re_2021.dat 2 2033 0.569624 0.569624 0.684095 6.02755 20.5545
Model_1_goa_re_2021.dat 2 2034 0.565768 0.565768 0.679455 5.96416 20.5163
Model_1_goa_re_2021.dat 2 2035 0.562178 0.562178 0.67388 5.91474 20.4907
Model_1_goa_re_2021.dat 2 2036 0.558603 0.558603 0.669264 5.88342 20.4757
Model_1_goa_re_2021.dat 3 2023 2.023 0.72914 0.875631 7.68781 24.4221
Model_1_goa_re_2021.dat 3 2024 2.024 0.662395 0.795489 6.98524 22.7212
Model_1_goa_re_2021.dat 3 2025 0 0.602704 0.723819 6.63667 21.0618
Model_1_goa_re_2021.dat 3 2026 0.427042 0.624173 0.749602 6.70255 21.4722
Model_1_goa_re_2021.dat 3 2027 0.436443 0.637875 0.766027 6.6789 21.4649
Model_1_goa_re_2021.dat 3 2028 0.431 0.629925 0.756485 6.65603 21.4632
Model_1_goa_re_2021.dat 3 2029 0.425692 0.622177 0.747188 6.63169 21.4832
Model_1_goa_re_2021.dat 3 2030 0.422577 0.61763 0.741732 6.60621 21.522
Model_1_goa_re_2021.dat 3 2031 0.42066 0.614832 0.738375 6.58123 21.5759
Model_1_goa_re_2021.dat 3 2032 0.419127 0.612597 0.735694 6.56169 21.6436
Model_1_goa_re_2021.dat 3 2033 0.418695 0.611968 0.734942 6.54237 21.7226
Model_1_goa_re_2021.dat 3 2034 0.419234 0.612759 0.735894 6.53435 21.8115
Model_1_goa_re_2021.dat 3 2035 0.420555 0.614691 0.738215 6.53733 21.9053
Model_1_goa_re_2021.dat 3 2036 0.422657 0.617764 0.741906 6.55561 22.0018
Model_1_goa_re_2021.dat 4 2023 2.023 0.72914 0.875631 7.68781 24.4221
Model_1_goa_re_2021.dat 4 2024 2.024 0.662395 0.795489 6.98524 22.7212
Model_1_goa_re_2021.dat 4 2025 0 0.602704 0.723819 6.63667 21.0618
Model_1_goa_re_2021.dat 4 2026 2.1399e-06 0.624173 0.749602 6.7737 21.4722
Model_1_goa_re_2021.dat 4 2027 2.24034e-06 0.65334 0.784598 6.92133 21.8924
Model_1_goa_re_2021.dat 4 2028 2.26644e-06 0.660962 0.793755 7.0714 22.3208
Model_1_goa_re_2021.dat 4 2029 2.2915e-06 0.668294 0.802566 7.21962 22.7574
Model_1_goa_re_2021.dat 4 2030 2.32594e-06 0.678352 0.814648 7.36517 23.1989
Model_1_goa_re_2021.dat 4 2031 2.36505e-06 0.689763 0.828352 7.50892 23.6436
Model_1_goa_re_2021.dat 4 2032 2.4048e-06 0.701366 0.842289 7.65567 24.091
Model_1_goa_re_2021.dat 4 2033 2.44888e-06 0.714227 0.857736 7.79848 24.5391
Model_1_goa_re_2021.dat 4 2034 2.49673e-06 0.728185 0.874499 7.95013 24.9874
Model_1_goa_re_2021.dat 4 2035 2.54747e-06 0.742983 0.892269 8.11045 25.4319
Model_1_goa_re_2021.dat 4 2036 2.60122e-06 0.758653 0.911087 8.28489 25.8713
Model_1_goa_re_2021.dat 5 2023 2.023 0.72914 0.875631 7.68781 24.4221
Model_1_goa_re_2021.dat 5 2024 2.024 0.662395 0.795489 6.98524 22.7212
Model_1_goa_re_2021.dat 5 2025 0 0.602704 0.723819 6.63667 21.0618
Model_1_goa_re_2021.dat 5 2026 0 0.624173 0.749602 6.7737 21.4722
Model_1_goa_re_2021.dat 5 2027 0 0.65334 0.784598 6.92133 21.8924
