Stock Alt Year Catch ABC OFL SSB TotBiom
M16.2 1 2020 91.5909 91.5909 106.142 156.365 663.092
M16.2 1 2021 83.4168 83.4168 96.596 138.988 641.936
M16.2 1 2022 81.2599 81.2599 93.0055 130.572 648.279
M16.2 1 2023 82.7142 82.7142 95.0738 132.76 666.551
M16.2 1 2024 86.4407 86.4407 99.5071 135.646 680.03
M16.2 1 2025 90.2358 90.2358 103.889 139.308 684.989
M16.2 1 2026 90.6231 90.6231 104.373 140.853 683.363
M16.2 1 2027 89.2646 89.2646 102.848 139.953 675.291
M16.2 1 2028 89.7718 89.7718 103.35 138.966 664.548
M16.2 1 2029 85.8475 85.8475 98.7392 137.81 656.375
M16.2 1 2030 84.1707 84.1707 96.7189 134.566 660.062
M16.2 1 2031 85.9997 85.9997 98.9418 134.817 672.619
M16.2 1 2032 88.156 88.156 101.481 137.48 686.076
M16.2 2 2020 55 91.5909 106.142 164.831 663.092
M16.2 2 2021 85.6474 89.9155 104.208 152.142 678.357
M16.2 2 2022 80.0497 88.9852 102.457 141.945 675.883
M16.2 2 2023 81.481 88.8297 102.296 142.531 690.031
M16.2 2 2024 84.8302 91.3383 105.307 144.131 700.092
M16.2 2 2025 88.2599 94.5175 108.943 146.903 702.691
M16.2 2 2026 88.6725 94.562 108.956 147.786 699.485
M16.2 2 2027 86.7868 92.9345 107.057 146.484 690.133
M16.2 2 2028 86.8109 93.462 107.62 145.378 678.918
M16.2 2 2029 82.8978 89.5972 103.136 144.254 670.846
M16.2 2 2030 80.8165 88.2176 101.486 141.11 674.578
M16.2 2 2031 83.1444 90.1845 103.733 141.407 687.649
M16.2 2 2032 85.3388 92.0248 106.056 144.056 701.066
M16.2 3 2020 21.972 91.5909 106.142 172.246 663.092
M16.2 3 2021 22.9884 95.8205 111.042 178.883 711.357
M16.2 3 2022 25.1371 104.911 121.61 187.933 765.033
M16.2 3 2023 27.141 113.216 131.221 204.044 818.224
M16.2 3 2024 29.0683 121.245 140.524 218.526 857.863
M16.2 3 2025 30.8665 128.544 148.923 232.755 886.244
M16.2 3 2026 31.5903 131.541 152.379 243.393 904.736
M16.2 3 2027 31.6852 131.922 152.828 249.057 911.27
M16.2 3 2028 31.9977 133.274 154.418 252.347 910.095
