Stock Run SSB F Yield SPR Recruit 
Choki Choki 181294 0.0 0.0 1.0 442396
Choki Choki 181294 0 0 1 442396
Choki Choki 152774 0.01 3772.19 0.948044 393232
Choki Choki 124954 0.02 6215.04 0.899964 338806
Choki Choki 97804.2 0.03 7349.7 0.855396 279009
Choki Choki 71298.9 0.04 7195.55 0.814015 213736
Choki Choki 45412.9 0.05 5770.35 0.775534 142891
Choki Choki 20122.4 0.06 3090.42 0.739696 66382.6
Choki Choki 0 0.07 0 0.706272 0
Choki Choki 0 0.08 0 0.675055 0
Choki Choki 0 0.09 0 0.645861 0
Choki Choki 0 0.1 0 0.618524 0
Choki Choki 0 0.11 0 0.592895 0
Choki Choki 0 0.12 0 0.568837 0
Choki Choki 0 0.13 0 0.546228 0
Choki Choki 0 0.14 0 0.524958 0
Choki Choki 0 0.15 0 0.504926 0
Choki Choki 0 0.16 0 0.486038 0
Choki Choki 0 0.17 0 0.468213 0
Choki Choki 0 0.18 0 0.451374 0
Choki Choki 0 0.19 0 0.435451 0
Choki Choki 0 0.2 0 0.42038 0
Choki Choki 0 0.21 0 0.406104 0
Choki Choki 0 0.22 0 0.392567 0
Choki Choki 0 0.23 0 0.379721 0
Choki Choki 0 0.24 0 0.367521 0
Choki Choki 0 0.25 0 0.355924 0
Choki Choki 0 0.26 0 0.344893 0
Choki Choki 0 0.27 0 0.334391 0
Choki Choki 0 0.28 0 0.324386 0
Choki Choki 0 0.29 0 0.314848 0
Choki Choki 0 0.3 0 0.305747 0
Choki Choki 0 0.31 0 0.297059 0
Choki Choki 0 0.32 0 0.288759 0
Choki Choki 0 0.33 0 0.280824 0
Choki Choki 0 0.34 0 0.273233 0
Choki Choki 0 0.35 0 0.265967 0
Choki Choki 0 0.36 0 0.259008 0
Choki Choki 0 0.37 0 0.252338 0
Choki Choki 0 0.38 0 0.245943 0
Choki Choki 0 0.39 0 0.239806 0
Choki Choki 0 0.4 0 0.233915 0
Choki Choki 0 0.41 0 0.228257 0
Choki Choki 0 0.42 0 0.222819 0
Choki Choki 0 0.43 0 0.21759 0
Choki Choki 0 0.44 0 0.212559 0
Choki Choki 0 0.45 0 0.207717 0
Choki Choki 0 0.46 0 0.203054 0
Choki Choki 0 0.47 0 0.198562 0
Choki Choki 0 0.48 0 0.194232 0
Choki Choki 0 0.49 0 0.190055 0
Choki Choki 0 0.5 0 0.186026 0
Choki Choki 0 0.51 0 0.182137 0
Choki Choki 0 0.52 0 0.178382 0
Choki Choki 0 0.53 0 0.174754 0
Choki Choki 0 0.54 0 0.171248 0
Choki Choki 0 0.55 0 0.167858 0
Choki Choki 0 0.56 0 0.164579 0
Choki Choki 0 0.57 0 0.161406 0
Choki Choki 0 0.58 0 0.158335 0
Choki Choki 0 0.59 0 0.155361 0
Choki Choki 0 0.6 0 0.15248 0
Choki Choki 0 0.61 0 0.149688 0
Choki Choki 0 0.62 0 0.146982 0
Choki Choki 0 0.63 0 0.144357 0
Choki Choki 0 0.64 0 0.141811 0
Choki Choki 0 0.65 0 0.13934 0
Choki Choki 0 0.66 0 0.136941 0
Choki Choki 0 0.67 0 0.134612 0
Choki Choki 0 0.68 0 0.13235 0
Choki Choki 0 0.69 0 0.130151 0
Choki Choki 0 0.7 0 0.128014 0
Choki Choki 0 0.71 0 0.125937 0
Choki Choki 0 0.72 0 0.123917 0
Choki Choki 0 0.73 0 0.121951 0
Choki Choki 0 0.74 0 0.120038 0
Choki Choki 0 0.75 0 0.118176 0
Choki Choki 0 0.76 0 0.116364 0
Choki Choki 0 0.77 0 0.114598 0
Choki Choki 0 0.78 0 0.112878 0
Choki Choki 0 0.79 0 0.111202 0
Choki Choki 0 0.8 0 0.109568 0
Choki Choki 0 0.81 0 0.107976 0
Choki Choki 0 0.82 0 0.106423 0
Choki Choki 0 0.83 0 0.104908 0
Choki Choki 0 0.84 0 0.10343 0
Choki Choki 0 0.85 0 0.101987 0
Choki Choki 0 0.86 0 0.100579 0
Choki Choki 0 0.87 0 0.0992047 0
Choki Choki 0 0.88 0 0.0978623 0
Choki Choki 0 0.89 0 0.0965511 0
Choki Choki 0 0.9 0 0.09527 0
Choki Choki 0 0.91 0 0.0940182 0
Choki Choki 0 0.92 0 0.0927946 0
Choki Choki 0 0.93 0 0.0915985 0
Choki Choki 0 0.94 0 0.0904289 0
Choki Choki 0 0.95 0 0.0892851 0
Choki Choki 0 0.96 0 0.0881661 0
Choki Choki 0 0.97 0 0.0870714 0
Choki Choki 0 0.98 0 0.0860002 0
Choki Choki 0 0.99 0 0.0849517 0
Choki Choki 0 1 0 0.0839252 0
Choki Choki 0 1.01 0 0.0829203 0
Choki Choki 0 1.02 0 0.0819361 0
Choki Choki 0 1.03 0 0.0809722 0
Choki Choki 0 1.04 0 0.0800279 0
Choki Choki 0 1.05 0 0.0791026 0
Choki Choki 0 1.06 0 0.078196 0
Choki Choki 0 1.07 0 0.0773073 0
Choki Choki 0 1.08 0 0.0764361 0
Choki Choki 0 1.09 0 0.075582 0
Choki Choki 0 1.1 0 0.0747445 0
Choki Choki 0 1.11 0 0.073923 0
Choki Choki 0 1.12 0 0.0731173 0
Choki Choki 0 1.13 0 0.0723268 0
Choki Choki 0 1.14 0 0.0715512 0
Choki Choki 0 1.15 0 0.0707901 0
Choki Choki 0 1.16 0 0.070043 0
Choki Choki 0 1.17 0 0.0693097 0
Choki Choki 0 1.18 0 0.0685898 0
Choki Choki 0 1.19 0 0.0678829 0
Choki Choki 0 1.2 0 0.0671886 0
Choki Choki 0 1.21 0 0.0665068 0
Choki Choki 0 1.22 0 0.065837 0
Choki Choki 0 1.23 0 0.065179 0
Choki Choki 0 1.24 0 0.0645325 0
Choki Choki 0 1.25 0 0.0638972 0
Choki Choki 0 1.26 0 0.0632728 0
Choki Choki 0 1.27 0 0.0626591 0
Choki Choki 0 1.28 0 0.0620558 0
Choki Choki 0 1.29 0 0.0614626 0
Choki Choki 0 1.3 0 0.0608793 0
Choki Choki 0 1.31 0 0.0603058 0
Choki Choki 0 1.32 0 0.0597417 0
Choki Choki 0 1.33 0 0.0591868 0
Choki Choki 0 1.34 0 0.058641 0
Choki Choki 0 1.35 0 0.058104 0
Choki Choki 0 1.36 0 0.0575756 0
Choki Choki 0 1.37 0 0.0570556 0
Choki Choki 0 1.38 0 0.0565439 0
Choki Choki 0 1.39 0 0.0560402 0
Choki Choki 0 1.4 0 0.0555444 0
Choki Choki 0 1.41 0 0.0550563 0
Choki Choki 0 1.42 0 0.0545757 0
Choki Choki 0 1.43 0 0.0541025 0
Choki Choki 0 1.44 0 0.0536365 0
Choki Choki 0 1.45 0 0.0531775 0
Choki Choki 0 1.46 0 0.0527255 0
Choki Choki 0 1.47 0 0.0522802 0
Choki Choki 0 1.48 0 0.0518416 0
Choki Choki 0 1.49 0 0.0514094 0
Choki Choki 0 1.5 0 0.0509836 0
