Stock Alt Year Catch ABC OFL SSB TotBiom
Choki 1 2023 15 26.4363 30.9585 111.062 517.732
Choki 1 2024 32.9118 32.9118 38.469 120.275 534.703
Choki 1 2025 33.474 33.474 39.1005 122.518 519.501
Choki 1 2026 31.77 31.77 37.1171 120.811 508.216
Choki 1 2027 30.6019 30.6019 35.764 118.598 504.693
Choki 1 2028 30.4347 30.4347 35.5715 117.901 504.758
Choki 1 2029 29.833 29.833 34.8741 116.45 500.299
Choki 1 2030 29.1836 29.1836 34.12 115.04 494.899
Choki 1 2031 28.632 28.632 33.4792 113.891 489.844
Choki 1 2032 28.2232 28.2232 33.0039 113.079 486.509
Choki 1 2033 27.9224 27.9224 32.6543 112.446 483.466
Choki 1 2034 27.7009 27.7009 32.396 111.966 481.857
Choki 1 2035 27.4469 27.4469 32.1015 111.458 479.706
Choki 2 2023 15 26.4363 30.9585 111.062 517.732
Choki 2 2024 32.9118 32.9118 38.469 120.275 534.703
Choki 2 2025 33.474 33.474 39.1005 122.518 519.501
Choki 2 2026 31.77 31.77 37.1171 120.811 508.216
Choki 2 2027 30.6019 30.6019 35.764 118.598 504.693
Choki 2 2028 30.4347 30.4347 35.5715 117.901 504.758
Choki 2 2029 29.833 29.833 34.8741 116.45 500.299
Choki 2 2030 29.1836 29.1836 34.12 115.04 494.899
Choki 2 2031 28.632 28.632 33.4792 113.891 489.844
Choki 2 2032 28.2232 28.2232 33.0039 113.079 486.509
Choki 2 2033 27.9224 27.9224 32.6543 112.446 483.466
Choki 2 2034 27.7009 27.7009 32.396 111.966 481.857
Choki 2 2035 27.4469 27.4469 32.1015 111.458 479.706
Choki 3 2023 15 26.4363 30.9585 111.062 517.732
Choki 3 2024 32.669 32.9118 38.469 120.326 534.703
Choki 3 2025 32.5882 33.5167 39.1499 122.794 519.757
Choki 3 2026 31.4026 31.964 37.3415 121.281 509.401
Choki 3 2027 30.7877 30.8524 36.0535 119.044 506.285
Choki 3 2028 30.7413 30.6588 35.83 118.223 506.256
Choki 3 2029 30.461 30.0337 35.1047 116.592 501.624
Choki 3 2030 30.092 29.3345 34.292 114.936 495.693
Choki 3 2031 29.7397 28.702 33.5564 113.482 489.746
Choki 3 2032 29.4328 28.1865 32.9562 112.329 485.28
Choki 3 2033 29.1766 27.7678 32.4688 111.34 480.939
Choki 3 2034 28.9532 27.4229 32.0661 110.494 477.868
Choki 3 2035 28.7298 27.0392 31.6197 109.606 474.209
Choki 4 2023 15 26.4363 30.9585 111.062 517.732
Choki 4 2024 32.9118 32.9118 38.469 120.275 534.703
Choki 4 2025 33.4655 33.474 39.1005 122.519 519.501
Choki 4 2026 31.6764 31.7717 37.1191 120.833 508.225
Choki 4 2027 30.4255 30.6216 35.7868 118.671 504.801
Choki 4 2028 30.1981 30.4874 35.6323 118.048 505.051
Choki 4 2029 29.5932 29.9272 34.9827 116.675 500.851
Choki 4 2030 28.9301 29.3209 34.2783 115.346 495.737
Choki 4 2031 28.4059 28.8151 33.6904 114.273 490.996
Choki 4 2032 28.0243 28.448 33.2632 113.53 487.98
Choki 4 2033 27.7312 28.186 32.9586 112.965 485.239
Choki 4 2034 27.5169 28.0066 32.7489 112.555 483.927
Choki 4 2035 27.3058 27.7961 32.5044 112.114 482.085
Choki 5 2023 15 26.4363 30.9585 111.062 517.732
Choki 5 2024 0 32.9118 38.469 127.106 534.703
Choki 5 2025 0 39.4507 46.0082 141.432 554.276
Choki 5 2026 0 43.5126 50.676 151.059 577.727
Choki 5 2027 0 47.72 55.5201 158.874 610.968
Choki 5 2028 0 53.4037 62.0627 167.938 651.064
Choki 5 2029 0 58.7973 68.2625 175.77 687.208
Choki 5 2030 0 64.4042 74.697 183.618 722.048
Choki 5 2031 0 70.5826 81.777 192.103 757.469
Choki 5 2032 0 77.621 89.8577 201.694 796.63
Choki 5 2033 0 85.635 99.0668 212.358 838.237
Choki 5 2034 0 94.2803 109.083 224.014 884.623
Choki 5 2035 0 103.279 119.531 236.14 932.285
Choki 6 2023 30.9585 26.4363 30.9585 107.74 517.732
Choki 6 2024 35.2635 30.1451 35.2635 114.078 517.457
Choki 6 2025 35.6697 30.5102 35.6697 115.819 499.994
Choki 6 2026 33.5549 28.6947 33.5549 113.775 484.933
Choki 6 2027 31.9231 27.2889 31.9231 111.161 477.62
Choki 6 2028 31.3428 26.7883 31.3428 109.933 474.557
Choki 6 2029 30.3839 25.9624 30.3839 108.049 467.845
Choki 6 2030 29.4202 25.1333 29.4202 106.242 460.487
Choki 6 2031 28.5691 24.4014 28.5691 104.684 453.51
Choki 6 2032 27.8921 23.8196 27.8921 103.48 448.303
Choki 6 2033 27.3542 23.3571 27.3542 102.49 443.542
Choki 6 2034 26.9236 22.9877 26.9236 101.687 440.275
Choki 6 2035 26.4813 22.6072 26.4813 100.892 436.658
Choki 7 2023 26.4363 26.4363 30.9585 108.687 517.732
Choki 7 2024 30.917 30.917 36.1582 116.602 522.341
Choki 7 2025 37.3509 31.962 37.3509 118.501 509.402
Choki 7 2026 34.7491 29.7254 34.7491 115.781 492.941
Choki 7 2027 32.8675 28.1028 32.8675 112.735 485.275
Choki 7 2028 32.2048 27.5306 32.2048 111.304 481.835
Choki 7 2029 31.1832 26.6504 31.1832 109.311 474.451
Choki 7 2030 30.1443 25.7565 30.1443 107.412 466.368
Choki 7 2031 29.2327 24.9725 29.2327 105.788 458.862
Choki 7 2032 28.5094 24.3507 28.5094 104.531 453.283
Choki 7 2033 27.9278 23.8506 27.9278 103.481 448.198
Choki 7 2034 27.4517 23.4419 27.4517 102.607 444.625
Choki 7 2035 26.9652 23.0233 26.9652 101.741 440.71
