Stock Alt Year Catch ABC OFL SSB TotBiom
projection_data.dat 1 2023 470 39504.2 48190.1 94116.1 294095
projection_data.dat 1 2024 785.999 40526.6 49442.6 96660.8 294329
projection_data.dat 1 2025 1108 41438.7 50541.5 98899.3 293152
projection_data.dat 1 2026 1108 41936.7 51123.6 100175 290987
projection_data.dat 1 2027 41925.5 41925.5 51092.2 100427 288680
projection_data.dat 1 2028 33356.6 33356.6 40676.3 80349.9 247836
projection_data.dat 1 2029 27366 27366 33400.4 66055.7 220449
projection_data.dat 1 2030 23343.1 23343.1 28514.8 56217.5 202107
projection_data.dat 1 2031 20613 20613 25202.6 49590.4 190109
projection_data.dat 1 2032 18589.1 18589.1 22752.6 45258.7 182076
projection_data.dat 1 2033 17270.2 17270.2 21155.4 42597.1 177026
projection_data.dat 1 2034 16470.3 16470.3 20185.9 40997.4 174135
projection_data.dat 1 2035 15996.9 15996.9 19611.3 40022.1 172473
projection_data.dat 1 2036 15690.4 15690.4 19239.3 39401.6 171803
projection_data.dat 2 2023 470 39504.2 48190.1 94116.1 294095
projection_data.dat 2 2024 785.999 40526.6 49442.6 96660.8 294329
projection_data.dat 2 2025 1108 41438.7 50541.5 98899.3 293152
projection_data.dat 2 2026 1108 41936.7 51123.6 100175 290987
projection_data.dat 2 2027 41925.5 41925.5 51092.2 100427 288680
projection_data.dat 2 2028 33356.6 33356.6 40676.3 80349.9 247836
projection_data.dat 2 2029 27366 27366 33400.4 66055.7 220449
projection_data.dat 2 2030 23343.1 23343.1 28514.8 56217.5 202107
projection_data.dat 2 2031 20613 20613 25202.6 49590.4 190109
projection_data.dat 2 2032 18589.1 18589.1 22752.6 45258.7 182076
projection_data.dat 2 2033 17270.2 17270.2 21155.4 42597.1 177026
projection_data.dat 2 2034 16470.3 16470.3 20185.9 40997.4 174135
projection_data.dat 2 2035 15996.9 15996.9 19611.3 40022.1 172473
projection_data.dat 2 2036 15690.4 15690.4 19239.3 39401.6 171803
projection_data.dat 3 2023 470 39504.2 48190.1 94116.1 294095
projection_data.dat 3 2024 785.999 40526.6 49442.6 96660.8 294329
projection_data.dat 3 2025 1108 41438.7 50541.5 98899.3 293152
projection_data.dat 3 2026 1108 41936.7 51123.6 100175 290987
projection_data.dat 3 2027 1917.84 41925.5 51092.2 100427 288680
projection_data.dat 3 2028 1892.17 41356.6 50396.7 99565.6 285403
projection_data.dat 3 2029 1861.51 40697.2 49596.4 98378 282510
projection_data.dat 3 2030 1834.42 40108.7 48880.5 97073.6 279612
projection_data.dat 3 2031 1809.35 39566.9 48222.4 95790.5 277036
projection_data.dat 3 2032 1786.42 39076.1 47627.6 94617.6 274453
projection_data.dat 3 2033 1767.31 38664.8 47128.2 93578 272117
projection_data.dat 3 2034 1750.76 38306.1 46692.1 92656.7 270263
projection_data.dat 3 2035 1735.75 37979.1 46294 91822.9 268704
projection_data.dat 3 2036 1721.79 37675.1 45923.9 91055.8 267655
projection_data.dat 4 2023 470 39504.2 48190.1 94116.1 294095
projection_data.dat 4 2024 785.999 40526.6 49442.6 96660.8 294329
projection_data.dat 4 2025 1108 41438.7 50541.5 98899.3 293152
projection_data.dat 4 2026 1108 41936.7 51123.6 100175 290987
projection_data.dat 4 2027 9887.48 41925.5 51092.2 100427 288680
projection_data.dat 4 2028 9372.6 39751.3 48446.3 95709.5 277902
projection_data.dat 4 2029 8899.88 37770 46040.7 91273.9 269002
projection_data.dat 4 2030 8507.27 36121.4 44038.1 87335.3 261389
projection_data.dat 4 2031 8179.63 34748.5 42371.5 83964.9 255164
projection_data.dat 4 2032 7909.98 33622.3 41005.5 81170.1 249794
projection_data.dat 4 2033 7696.78 32730.1 39922.9 78896 245356
projection_data.dat 4 2034 7525.48 32011.3 39049.9 77046.1 241934
projection_data.dat 4 2035 7384.42 31418.1 38328.9 75522.2 239218
projection_data.dat 4 2036 7266.19 30919.9 37723.2 74250.4 237331
projection_data.dat 5 2023 470 39504.2 48190.1 94116.1 294095
projection_data.dat 5 2024 785.999 40526.6 49442.6 96660.8 294329
projection_data.dat 5 2025 1108 41438.7 50541.5 98899.3 293152
projection_data.dat 5 2026 1108 41936.7 51123.6 100175 290987
projection_data.dat 5 2027 0 41925.5 51092.2 100427 288680
projection_data.dat 5 2028 0 41743.7 50866.9 100495 287209
projection_data.dat 5 2029 0 41422.2 50477.1 100138 285848
projection_data.dat 5 2030 0 41121.5 50110.4 99548.8 284226
projection_data.dat 5 2031 0 40820.1 49744 98869.5 282705
projection_data.dat 5 2032 0 40526.1 49388 98198.4 280984
projection_data.dat 5 2033 0 40274.7 49082.6 97569.3 279345
projection_data.dat 5 2034 0 40045.1 48803.2 96981.1 278055
projection_data.dat 5 2035 0 39821.7 48530.8 96415.8 276946
projection_data.dat 5 2036 0 39600.1 48260.5 95863.5 276256
projection_data.dat 6 2023 48190.1 39504.2 48190.1 94116.1 294095
projection_data.dat 6 2024 38129.5 31220.8 38129.6 74431.5 249355
projection_data.dat 6 2025 31574.5 25835.6 31574.5 61649.8 218786
projection_data.dat 6 2026 26934.6 22031.7 26934.7 52648.2 197730
projection_data.dat 6 2027 23496 19208.8 23496 45934 183652
projection_data.dat 6 2028 21034 17180.9 21034 41169.9 174425
projection_data.dat 6 2029 18734.2 15276 18734.2 38064.2 168879
projection_data.dat 6 2030 17406.4 14178.9 17406.4 36427.3 165976
projection_data.dat 6 2031 16813.4 13689.9 16813.4 35648.4 164740
projection_data.dat 6 2032 16575.3 13493.5 16575.3 35313.1 163926
projection_data.dat 6 2033 16512.2 13441.7 16512.2 35195 163362
projection_data.dat 6 2034 16477 13413.4 16477 35136.2 163093
projection_data.dat 6 2035 16430.3 13375.6 16430.3 35067.8 162916
projection_data.dat 6 2036 16369.8 13326.3 16369.8 34973.9 163080
projection_data.dat 7 2023 39504.2 39504.2 48190.1 94116.1 294095
projection_data.dat 7 2024 32893.8 32893.8 40163.7 78423.4 257518
projection_data.dat 7 2025 34598.9 28322.7 34598.9 67568.9 230852
projection_data.dat 7 2026 28931.6 23675.1 28931.6 56582.7 205402
projection_data.dat 7 2027 24773 20260.3 24773 48480.8 188416
projection_data.dat 7 2028 21874.3 17874 21874.3 42773 177323
projection_data.dat 7 2029 19393.2 15821 19393.2 39026.9 170568
projection_data.dat 7 2030 17741.2 14455.4 17741.2 36923.8 166789
projection_data.dat 7 2031 16968.8 13818.2 16968.8 35892.4 165102
projection_data.dat 7 2032 16642.1 13548.7 16642.1 35426.5 164074
projection_data.dat 7 2033 16538.4 13463.4 16538.4 35243.6 163414
projection_data.dat 7 2034 16485.1 13420.1 16485.1 35154.3 163106
projection_data.dat 7 2035 16431.4 13376.5 16431.4 35072.8 162915
projection_data.dat 7 2036 16368.8 13325.5 16368.8 34974.1 163076
