S-r Parameters
Steepness Rzero Alpha Beta SigmaR Bzero Phi 
 1  1.73705  6.42098e-05  0.424952  31331.6  0 

Stock Run Source SSB Rec
Model_Proj std Data 11205.1 30534.6
Model_Proj std Data 11094.2 31321.2
Model_Proj std Data 11030.3 31473.4
Model_Proj std Data 10927.7 30039.4
Model_Proj std Data 10887.1 29260.4
Model_Proj std Data 10735.1 29307.6
Model_Proj std Data 11414.2 29003
Model_Proj std Data 11709.8 33288.2
Model_Proj std Data 12371.8 40482
Model_Proj std Data 13259 40980.2
Model_Proj std Data 14065.6 54651
Model_Proj std Data 14200.1 31623.2
Model_Proj std Data 14613.7 26435.6
Model_Proj std Data 14537.9 26947.2
Model_Proj std Data 14444.6 26946.6
Model_Proj std Data 14583.3 22451.6
Model_Proj std Data 14562.2 23719.6
Model_Proj std Data 14268.1 34808.6
Model_Proj std Data 14589.6 29284.8
Model_Proj std Data 14211.6 30999.4
Model_Proj std Data 12986.2 50335.4
Model_Proj std Data 12009.8 40678.8
Model_Proj std Data 11752.6 69998.6
Model_Proj std Data 11898.2 35871.6
Model_Proj std Data 11512.3 16412.8
Model_Proj std Data 11365 12102.8
Model_Proj std Data 11376.5 24665
Model_Proj std Data 12441.3 30586
Model_Proj std Data 14194.4 36180.8
Model_Proj std Data 15848.8 19441.9
Model_Proj std Data 15826.3 12721
Model_Proj std Data 14205.2 10224.7
Model_Proj std Data 12088.3 17125.4
Model_Proj std Data 10681.6 33145.4
Model_Proj std Data 10553.9 48015.6
Model_Proj std Data 10651.4 24737.2
Model_Proj std Data 10321.4 16522.5
Model_Proj std Data 9186.28 21057
Model_Proj std Data 8192.73 34841.4
Model_Proj std Data 7948.49 51004.8
Model_Proj std Data 8544.6 68881.8
Model_Proj std Data 9821.39 26559.4
Model_Proj std Fit 0 0
Model_Proj std Fit 1566.58 8047.42
Model_Proj std Fit 3133.16 14554.6
Model_Proj std Fit 4699.74 19742.7
Model_Proj std Fit 6266.32 23804.5
Model_Proj std Fit 7832.9 26908.2
Model_Proj std Fit 9399.48 29199.8
Model_Proj std Fit 10966.1 30806.4
Model_Proj std Fit 12532.6 31838.1
Model_Proj std Fit 14099.2 32390.2
Model_Proj std Fit 15665.8 32545.1
Model_Proj std Fit 17232.4 32373.7
Model_Proj std Fit 18799 31937.1
Model_Proj std Fit 20365.5 31287.6
Model_Proj std Fit 21932.1 30469.9
Model_Proj std Fit 23498.7 29522.2
Model_Proj std Fit 25065.3 28476.9
Model_Proj std Fit 26631.9 27361.2
Model_Proj std Fit 28198.5 26198.3
Model_Proj std Fit 29765 25007.4
Model_Proj std Fit 31331.6 23804.5
Model_Proj std Fit 32898.2 22602.9
Model_Proj std Fit 34464.8 21413.2
Model_Proj std Fit 36031.4 20244.2
Model_Proj std Fit 37597.9 19102.9
Model_Proj std Fit 39164.5 17994.6
Model_Proj std Fit 40731.1 16923.5
Model_Proj std Fit 42297.7 15892.6
Model_Proj std Fit 43864.3 14904
Model_Proj std Fit 45430.8 13959.1
Model_Proj std Fit 46997.4 13058.5

