
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
573174 229270 200611 202309 173588 150260 
CV Recruit
1.15365 
Alternative 1 Alternative  Stock: bsai_akp
Catch bsai_akp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 50586.8 53232.9 15862 15862 15862 15862 2.31012e-10 
2022  0 50586.8 53232.9 11253 11253 11253 11253 0.000532683 
2023  0 50586.8 53232.9 18054 18054 18054 18054 0.000415384 
2024  0 50586.8 53232.9 18054 18054 18054 18054 0.00603569 
2025  0 50586.8 53232.9 27195.8 27731.8 28014.5 29623.5 939.571 
2026  0 50586.8 53232.9 28939 30227 30918.7 34970.5 2213.83 
2027  0 50586.8 53232.9 29852.2 32700.2 34075.2 42681.9 4431.07 
2028  0 50586.8 53232.9 29663.7 35214.7 37262 52386.5 7147.92 
2029  0 50586.8 53232.9 28511.6 37623.8 40118.2 58296.8 9742.2 
2030  0 50586.8 53232.9 27356.4 40173.9 42514.2 62899.2 11915.8 
2031  0 50586.8 53232.9 26077.4 42724.6 44507 67531.7 13652.6 
2032  0 50586.8 53232.9 25841.5 44475.7 46138.7 70861.5 14992.5 
2033  0 50586.8 53232.9 25278.1 45754.1 47387.2 73676.2 15941 
2034  0 50586.8 53232.9 24542.4 46836.5 48337.1 76954.2 16512.6 
2035  0 50586.8 53232.9 24514.1 47694.4 49004.4 77567.8 16755.8 

Spawning_Biomass bsai_akp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 573174 229270 200611 143363 143363 143363 143363 1.36788e-09 
2022 573174 229270 200611 143424 143425 143425 143429 1.96069 
2023 573174 229270 200611 149659 149742 149818 150217 222.25 
2024 573174 229270 200611 157846 158255 158521 159990 821.741 
2025 573174 229270 200611 167500 168822 169570 173849 2425.18 
2026 573174 229270 200611 172949 176483 178299 188863 6007.41 
2027 573174 229270 200611 175637 183490 187088 209557 12173.2 
2028 573174 229270 200611 174633 190259 196026 236737 21643.4 
2029 573174 229270 200611 170827 196619 204710 265929 32186.6 
2030 573174 229270 200611 166400 202950 212673 289952 41513.1 
2031 573174 229270 200611 162349 209894 219548 308518 48949.3 
2032 573174 229270 200611 162213 213504 225193 323753 54769.4 
2033 573174 229270 200611 160132 216374 229496 334226 58920.9 
2034 573174 229270 200611 158028 218638 232562 347854 61141.9 
2035 573174 229270 200611 157793 220959 234498 349659 61818.4 

Fishing_mortalitybsai_akp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.140028 0.170414 0.0651529 0.0651529 0.0651529 0.0651529 6.245e-16 
2022  0 0.140028 0.170414 0.04609 0.0462272 0.0462053 0.0462512 6.36746e-05 
2023  0 0.140028 0.170414 0.0716564 0.0722071 0.0721297 0.0723521 0.000255568 
2024  0 0.140028 0.170414 0.0679088 0.0691075 0.06894 0.0694627 0.000562877 
2025  0 0.140028 0.170414 0.100315 0.101165 0.101646 0.104397 0.00155916 
2026  0 0.140028 0.170414 0.103818 0.106091 0.107244 0.114049 0.00371234 
2027  0 0.140028 0.170414 0.105547 0.110596 0.112788 0.127354 0.00705906 
2028  0 0.140028 0.170414 0.104901 0.114947 0.117608 0.140028 0.0103301 
2029  0 0.140028 0.170414 0.102454 0.119036 0.120964 0.140028 0.0126653 
2030  0 0.140028 0.170414 0.0996084 0.123106 0.123034 0.140028 0.0141205 
2031  0 0.140028 0.170414 0.0970035 0.127571 0.124381 0.140028 0.0150589 
2032  0 0.140028 0.170414 0.0969164 0.129891 0.125348 0.140028 0.0156258 
2033  0 0.140028 0.170414 0.0955785 0.131736 0.125982 0.140028 0.0158708 
2034  0 0.140028 0.170414 0.0942256 0.133193 0.126519 0.140028 0.0160169 
2035  0 0.140028 0.170414 0.0940746 0.134685 0.126941 0.140028 0.0160781 

Total_Biomassbsai_akp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 1.26084e+06 671906 621705 429307 429307 429307 429307 3.84171e-09 
2022 1.26084e+06 671906 621705 436754 445450 453468 495280 23280.9 
2023 1.26084e+06 671906 621705 450139 475392 487201 566118 39960.7 
2024 1.26084e+06 671906 621705 456199 502385 517409 628108 58712.8 
2025 1.26084e+06 671906 621705 461419 533636 551849 701731 79113.5 
2026 1.26084e+06 671906 621705 458499 554592 577556 763407 101682 
2027 1.26084e+06 671906 621705 453580 577116 601270 822557 121508 
2028 1.26084e+06 671906 621705 454129 597265 622533 873457 138012 
2029 1.26084e+06 671906 621705 451367 611629 639498 921231 151756 
2030 1.26084e+06 671906 621705 445557 623963 653795 954373 161252 
2031 1.26084e+06 671906 621705 440789 636972 664388 968662 168429 
2032 1.26084e+06 671906 621705 439206 646006 672844 976858 173168 
2033 1.26084e+06 671906 621705 448005 655092 679594 995895 174574 
2034 1.26084e+06 671906 621705 448225 658475 684372 1.01229e+06 174912 
2035 1.26084e+06 671906 621705 454562 660546 688411 1.02774e+06 173896 
Alternative 2 Alternative  Stock: bsai_akp
Catch bsai_akp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 50586.8 53232.9 15862 15862 15862 15862 2.31012e-10 
2022  0 50586.8 53232.9 11253 11253 11253 11253 0.000532683 
2023  0 50586.8 53232.9 18054 18054 18054 18054 0.000415384 
2024  0 50586.8 53232.9 18054 18054 18054 18054 0.00603569 
2025  0 50586.8 53232.9 27195.8 27731.8 28014.5 29623.5 939.571 
2026  0 50586.8 53232.9 28939 30227 30918.7 34970.5 2213.83 
2027  0 50586.8 53232.9 29852.2 32700.2 34075.2 42681.9 4431.07 
2028  0 50586.8 53232.9 29663.7 35214.7 37262 52386.5 7147.92 
2029  0 50586.8 53232.9 28511.6 37623.8 40118.2 58296.8 9742.2 
2030  0 50586.8 53232.9 27356.4 40173.9 42514.2 62899.2 11915.8 
2031  0 50586.8 53232.9 26077.4 42724.6 44507 67531.7 13652.6 
2032  0 50586.8 53232.9 25841.5 44475.7 46138.7 70861.5 14992.5 
2033  0 50586.8 53232.9 25278.1 45754.1 47387.2 73676.2 15941 
2034  0 50586.8 53232.9 24542.4 46836.5 48337.1 76954.2 16512.6 
2035  0 50586.8 53232.9 24514.1 47694.4 49004.4 77567.8 16755.8 

Spawning_Biomass bsai_akp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 573174 229270 200611 143363 143363 143363 143363 1.36788e-09 
2022 573174 229270 200611 143424 143425 143425 143429 1.96069 
2023 573174 229270 200611 149659 149742 149818 150217 222.25 
2024 573174 229270 200611 157846 158255 158521 159990 821.741 
2025 573174 229270 200611 167500 168822 169570 173849 2425.18 
2026 573174 229270 200611 172949 176483 178299 188863 6007.41 
2027 573174 229270 200611 175637 183490 187088 209557 12173.2 
2028 573174 229270 200611 174633 190259 196026 236737 21643.4 
2029 573174 229270 200611 170827 196619 204710 265929 32186.6 
2030 573174 229270 200611 166400 202950 212673 289952 41513.1 
2031 573174 229270 200611 162349 209894 219548 308518 48949.3 
2032 573174 229270 200611 162213 213504 225193 323753 54769.4 
2033 573174 229270 200611 160132 216374 229496 334226 58920.9 
2034 573174 229270 200611 158028 218638 232562 347854 61141.9 
2035 573174 229270 200611 157793 220959 234498 349659 61818.4 

Fishing_mortalitybsai_akp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.140028 0.170414 0.0651529 0.0651529 0.0651529 0.0651529 6.245e-16 
2022  0 0.140028 0.170414 0.04609 0.0462272 0.0462053 0.0462512 6.36746e-05 
2023  0 0.140028 0.170414 0.0716564 0.0722071 0.0721297 0.0723521 0.000255568 
2024  0 0.140028 0.170414 0.0679088 0.0691075 0.06894 0.0694627 0.000562877 
2025  0 0.140028 0.170414 0.100315 0.101165 0.101646 0.104397 0.00155916 
2026  0 0.140028 0.170414 0.103818 0.106091 0.107244 0.114049 0.00371234 
2027  0 0.140028 0.170414 0.105547 0.110596 0.112788 0.127354 0.00705906 
2028  0 0.140028 0.170414 0.104901 0.114947 0.117608 0.140028 0.0103301 
2029  0 0.140028 0.170414 0.102454 0.119036 0.120964 0.140028 0.0126653 
2030  0 0.140028 0.170414 0.0996084 0.123106 0.123034 0.140028 0.0141205 
2031  0 0.140028 0.170414 0.0970035 0.127571 0.124381 0.140028 0.0150589 
2032  0 0.140028 0.170414 0.0969164 0.129891 0.125348 0.140028 0.0156258 
2033  0 0.140028 0.170414 0.0955785 0.131736 0.125982 0.140028 0.0158708 
2034  0 0.140028 0.170414 0.0942256 0.133193 0.126519 0.140028 0.0160169 
2035  0 0.140028 0.170414 0.0940746 0.134685 0.126941 0.140028 0.0160781 

Total_Biomassbsai_akp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 1.26084e+06 671906 621705 429307 429307 429307 429307 3.84171e-09 
2022 1.26084e+06 671906 621705 436754 445450 453468 495280 23280.9 
2023 1.26084e+06 671906 621705 450139 475392 487201 566118 39960.7 
2024 1.26084e+06 671906 621705 456199 502385 517409 628108 58712.8 
2025 1.26084e+06 671906 621705 461419 533636 551849 701731 79113.5 
2026 1.26084e+06 671906 621705 458499 554592 577556 763407 101682 
2027 1.26084e+06 671906 621705 453580 577116 601270 822557 121508 
2028 1.26084e+06 671906 621705 454129 597265 622533 873457 138012 
2029 1.26084e+06 671906 621705 451367 611629 639498 921231 151756 
2030 1.26084e+06 671906 621705 445557 623963 653795 954373 161252 
2031 1.26084e+06 671906 621705 440789 636972 664388 968662 168429 
2032 1.26084e+06 671906 621705 439206 646006 672844 976858 173168 
2033 1.26084e+06 671906 621705 448005 655092 679594 995895 174574 
2034 1.26084e+06 671906 621705 448225 658475 684372 1.01229e+06 174912 
2035 1.26084e+06 671906 621705 454562 660546 688411 1.02774e+06 173896 
Alternative 3 Alternative  Stock: bsai_akp
Catch bsai_akp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 50586.8 53232.9 15862 15862 15862 15862 2.31012e-10 
2022  0 50586.8 53232.9 11253 11253 11253 11253 0.000532683 
2023  0 50586.8 53232.9 18054 18054 18054 18054 0.000415384 
2024  0 50586.8 53232.9 18054 18054 18054 18054 0.00603569 
2025  0 50586.8 53232.9 13280.8 13429.1 13501 13943.8 238.218 
2026  0 50586.8 53232.9 14213.4 14543.7 14695.1 15641.9 509.027 
2027  0 50586.8 53232.9 15021.6 15698.3 15990.7 17850.2 1005.03 
2028  0 50586.8 53232.9 15597.6 16903 17366.7 20695.8 1761.79 
2029  0 50586.8 53232.9 15920.8 18102.7 18792.3 24088.3 2697.59 
2030  0 50586.8 53232.9 16131.3 19341.3 20213.6 26917.1 3664.08 
2031  0 50586.8 53232.9 16245.4 20583.1 21580.7 29806.5 4563.71 
2032  0 50586.8 53232.9 16430 21827.5 22856.5 32342.7 5358.42 
2033  0 50586.8 53232.9 16753.3 22895 24011 34717.9 6022.51 
2034  0 50586.8 53232.9 16775.2 23813.1 25029 36622 6533.69 
2035  0 50586.8 53232.9 16888.8 24643.6 25905.9 38698.8 6892.27 

Spawning_Biomass bsai_akp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 573174 229270 200611 143363 143363 143363 143363 1.36788e-09 
2022 573174 229270 200611 143424 143425 143425 143429 1.96069 
2023 573174 229270 200611 149659 149742 149818 150217 222.25 
2024 573174 229270 200611 157846 158255 158521 159990 821.741 
2025 573174 229270 200611 169298 170651 171416 175797 2482.46 
2026 573174 229270 200611 181962 185714 187638 198821 6389.63 
2027 573174 229270 200611 192297 200870 204867 229793 13364.9 
2028 573174 229270 200611 198855 216194 223082 268135 24577.6 
2029 573174 229270 200611 201899 231853 241743 318889 38077.2 
2030 573174 229270 200611 202513 248300 260116 354002 51321.2 
2031 573174 229270 200611 203060 263046 277474 392422 63039.5 
2032 573174 229270 200611 205961 279664 293381 421608 73070.4 
2033 573174 229270 200611 207983 292936 307473 452764 81234.3 
2034 573174 229270 200611 209426 303237 319660 479098 87154 
2035 573174 229270 200611 210258 314920 329915 501155 91016.5 

Fishing_mortalitybsai_akp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.140028 0.170414 0.0651529 0.0651529 0.0651529 0.0651529 6.245e-16 
2022  0 0.140028 0.170414 0.04609 0.0462272 0.0462053 0.0462512 6.36746e-05 
2023  0 0.140028 0.170414 0.0716564 0.0722071 0.0721297 0.0723521 0.000255568 
2024  0 0.140028 0.170414 0.0679088 0.0691075 0.06894 0.0694627 0.000562877 
2025  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 
2026  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 
2027  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 
2028  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 
2029  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 
2030  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 
2031  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 
2032  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 
2033  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 
2034  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 
2035  0 0.140028 0.170414 0.048 0.048 0.048 0.048 4.16334e-17 

Total_Biomassbsai_akp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 1.26084e+06 671906 621705 429307 429307 429307 429307 3.84171e-09 
2022 1.26084e+06 671906 621705 436754 445450 453468 495280 23280.9 
2023 1.26084e+06 671906 621705 450139 475392 487201 566118 39960.7 
2024 1.26084e+06 671906 621705 456199 502385 517409 628108 58712.8 
2025 1.26084e+06 671906 621705 461419 533636 551849 701731 79113.5 
2026 1.26084e+06 671906 621705 471574 568576 591271 779312 102296 
2027 1.26084e+06 671906 621705 480183 605414 629822 859188 123466 
2028 1.26084e+06 671906 621705 494306 641252 667074 926344 142495 
2029 1.26084e+06 671906 621705 504925 670591 701033 1.00058e+06 160044 
2030 1.26084e+06 671906 621705 507714 700177 732843 1.05219e+06 174261 
2031 1.26084e+06 671906 621705 513511 727995 760905 1.10269e+06 186695 
2032 1.26084e+06 671906 621705 516704 755799 786386 1.1347e+06 196763 
2033 1.26084e+06 671906 621705 526005 779441 809380 1.17162e+06 203238 
2034 1.26084e+06 671906 621705 540069 804024 829353 1.20176e+06 208079 
2035 1.26084e+06 671906 621705 550942 821897 847342 1.24255e+06 210580 
Alternative 4 Alternative  Stock: bsai_akp
Catch bsai_akp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 50586.8 53232.9 15862 15862 15862 15862 2.31012e-10 
2022  0 50586.8 53232.9 11253 11253 11253 11253 0.000532683 
2023  0 50586.8 53232.9 18054 18054 18054 18054 0.000415384 
2024  0 50586.8 53232.9 18054 18054 18054 18054 0.00603569 
2025  0 50586.8 53232.9 9392.88 9497.22 9547.84 9859.44 167.668 
2026  0 50586.8 53232.9 10160.4 10393 10499.8 11166.6 358.842 
2027  0 50586.8 53232.9 10846.6 11324.7 11531.5 12845.5 710.328 
2028  0 50586.8 53232.9 11372.4 12295.8 12626.7 14978 1250.34 
2029  0 50586.8 53232.9 11716.6 13267.5 13762.6 17563.8 1925.25 
2030  0 50586.8 53232.9 11967.4 14261.2 14899.9 19756.3 2631.99 
2031  0 50586.8 53232.9 12155.3 15280 16001.6 21931.7 3299.82 
2032  0 50586.8 53232.9 12379.5 16278.8 17039.6 23895.3 3899 
2033  0 50586.8 53232.9 12672.9 17190.1 17990.7 25780.3 4409.22 
2034  0 50586.8 53232.9 12788 17943 18842.1 27344.9 4812.7 
2035  0 50586.8 53232.9 12914.9 18616.6 19588.3 29125 5107.16 

Spawning_Biomass bsai_akp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 573174 229270 200611 143363 143363 143363 143363 1.36788e-09 
2022 573174 229270 200611 143424 143425 143425 143429 1.96069 
2023 573174 229270 200611 149659 149742 149818 150217 222.25 
2024 573174 229270 200611 157846 158255 158521 159990 821.741 
2025 573174 229270 200611 169791 171145 171910 176292 2483.42 
2026 573174 229270 200611 184467 188226 190153 201349 6400.91 
2027 573174 229270 200611 196942 205540 209557 234546 13419.3 
2028 573174 229270 200611 205667 223085 230061 275300 24774.9 
2029 573174 229270 200611 210785 241021 251102 329535 38594.2 
2030 573174 229270 200611 213350 259644 271914 367200 52348.9 
2031 573174 229270 200611 215569 276626 291734 408610 64712.3 
2032 573174 229270 200611 220178 295716 310089 442470 75459.3 
2033 573174 229270 200611 224073 311445 326577 477742 84377 
2034 573174 229270 200611 226074 324471 341072 504858 91051.9 
2035 573174 229270 200611 228268 337646 353514 533163 95626.3 

Fishing_mortalitybsai_akp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.140028 0.170414 0.0651529 0.0651529 0.0651529 0.0651529 6.245e-16 
2022  0 0.140028 0.170414 0.04609 0.0462272 0.0462053 0.0462512 6.36746e-05 
2023  0 0.140028 0.170414 0.0716564 0.0722071 0.0721297 0.0723521 0.000255568 
2024  0 0.140028 0.170414 0.0679088 0.0691075 0.06894 0.0694627 0.000562877 
2025  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 
2026  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 
2027  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 
2028  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 
2029  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 
2030  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 
2031  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 
2032  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 
2033  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 
2034  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 
2035  0 0.140028 0.170414 0.033759 0.033759 0.033759 0.033759 7.63278e-17 

Total_Biomassbsai_akp
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2021 1.26084e+06 671906 621705 429307 429307 429307 429307 3.84171e-09 
2022 1.26084e+06 671906 621705 436754 445450 453468 495280 23280.9 
2023 1.26084e+06 671906 621705 450139 475392 487201 566118 39960.7 
2024 1.26084e+06 671906 621705 456199 502385 517409 628108 58712.8 
2025 1.26084e+06 671906 621705 461419 533636 551849 701731 79113.5 
2026 1.26084e+06 671906 621705 475227 572282 595005 783297 102372 
2027 1.26084e+06 671906 621705 487506 612900 637372 867093 123687 
2028 1.26084e+06 671906 621705 505265 652584 678511 938639 142976 
2029 1.26084e+06 671906 621705 519336 686322 716416 1.01763e+06 160943 
2030 1.26084e+06 671906 621705 525201 719169 752212 1.07678e+06 175750 
2031 1.26084e+06 671906 621705 534303 750808 784264 1.13507e+06 188937 
2032 1.26084e+06 671906 621705 539421 783647 813706 1.17799e+06 199871 
2033 1.26084e+06 671906 621705 550704 808496 840582 1.2137e+06 207280 
2034 1.26084e+06 671906 621705 567264 837024 864317 1.24838e+06 213057 
2035 1.26084e+06 671906 621705 580250 860893 885895 1.28652e+06 216430 
Alternative 5 Alternative  Stock: bsai_akp
Catch bsai_akp
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2021  0 50586.8 53232.9 15862 15862 15862 15862 2.31012e-10 
2022  0 50586.8 53232.9 11253 11253 11253 11253 0.000532683 
2023  0 50586.8 53232.9 18054 18054 18054 18054 0.000415384 
2024  0 50586.8 53232.9 18054 18054 18054 18054 0.00603569 
2025  0 50586.8 53232.9 0 0 0 0 0 
2026  0 50586.8 53232.9 0 0 0 0 0 
2027  0 50586.8 53232.9 0 0 0 0 0 
2028  0 50586.8 53232.9 0 0 0 0 0 
2029  0 50586.8 53232.9 0 0 0 0 0 
2030  0 50586.8 53232.9 0 0 0 0 0 
2031  0 50586.8 53232.9 0 0 0 0 0 
2032  0 50586.8 53232.9 0 0 0 0 0 
2033  0 50586.8 53232.9 0 0 0 0 0 
2034  0 50586.8 53232.9 0 0 0 0 0 
2035  0 50586.8 53232.9 0 0 0 0 0 

Spawning_Biomass bsai_akp
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2021 573174 229270 200611 143363 143363 143363 143363 1.36788e-09 
2022 573174 229270 200611 143424 143425 143425 143429 1.96069 
2023 573174 229270 200611 149659 149742 149818 150217 222.25 
2024 573174 229270 200611 157846 158255 158521 159990 821.741 
2025 573174 229270 200611 170966 172321 173087 177474 2485.69 
2026 573174 229270 200611 190562 194337 196269 207497 6427.81 
2027 573174 229270 200611 208466 217130 221189 246329 13549.4 
2028 573174 229270 200611 222905 240526 247702 293828 25250.5 
2029 573174 229270 200611 233698 264787 275174 355244 39855 
2030 573174 229270 200611 241852 289792 302773 403275 54893.8 
2031 573174 229270 200611 249390 313578 329622 453167 68926.5 
2032 573174 229270 200611 258193 339581 355148 499178 81582.4 
2033 573174 229270 200611 267868 362308 378830 542205 92566.6 
2034 573174 229270 200611 273343 382374 400432 581026 101373 
2035 573174 229270 200611 279404 399566 419787 620938 108032 

Fishing_mortalitybsai_akp
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2021  0 0.140028 0.170414 0.0651529 0.0651529 0.0651529 0.0651529 6.245e-16 
2022  0 0.140028 0.170414 0.04609 0.0462272 0.0462053 0.0462512 6.36746e-05 
2023  0 0.140028 0.170414 0.0716564 0.0722071 0.0721297 0.0723521 0.000255568 
2024  0 0.140028 0.170414 0.0679088 0.0691075 0.06894 0.0694627 0.000562877 
2025  0 0.140028 0.170414 0 0 0 0 0 
2026  0 0.140028 0.170414 0 0 0 0 0 
2027  0 0.140028 0.170414 0 0 0 0 0 
2028  0 0.140028 0.170414 0 0 0 0 0 
2029  0 0.140028 0.170414 0 0 0 0 0 
2030  0 0.140028 0.170414 0 0 0 0 0 
