Year,Atka,Oflats,OthSpp,Pcod ,Pollock,POP ,RockFish,RockSole,Sable,Gturb,YfinSole,FheadSole,Arrowtooth,AKPlaice,NrthrnRF,Grand Total
1977,,65000,,,950000,21500,,,7400,40000,106000,,,,,1189900
1978,,139000,,,950000,21500,,,6500,40000,106000,,,,,1263000
1979,,61000,,,1100000,21500,7700,,5000,90000,117000,,,,,1402200
1980,24800,61000,74200,148000,1300000,18000,7700,,3700,76000,169000,,20000,,,1902400
1981,24800,92500,94400,160000,1300000,18000,21300,,3700,59800,214500,,16500,,,2005500
1982,24800,92500,94300,168000,1300000,18000,22000,,2900,60000,214500,,16500,,,2013500
1983,25500,119200,61400,298200,1300000,11800,14100,,2900,65000,214500,,20000,,,2132600
1984,25500,150200,61000,291300,1300000,12160,14100,,6185,47500,310000,,20000,,,2237945
1985,37700,150200,51200,347400,1300000,12760,8910,,6080,44200,310000,,20000,,,2288450
1986,30800,137500,35900,249300,1300000,10200,8900,,7200,35000,230000,,20000,,,2064800
1987,30800,193300,49500,400000,1300000,14700,1880,,7700,20000,187000,,30900,,,2235780
1988,21000,331900,54000,385300,1500000,22600,1500,,9200,14100,254000,,99500,,,2693100
1989,21000,155900,59000,370600,1340000,22600,1500,171000,6200,20300,241000,,163700,,,2572800
1990,24000,188000,55500,417000,1450000,22900,1600,216300,2700,7000,278900,,106500,,,2770400
1991,24000,219700,28700,229000,1676000,15345,1325,246500,3100,7000,250600,,116400,,,2817670
1992,43000,199600,27200,182000,1490000,15240,1325,260800,1400,7000,372000,,82300,,,2681865
1993,117100,191000,26600,164500,1340000,17230,1325,185000,1500,7000,238000,,72000,,,2361255
1994,122500,225000,27500,191000,1330000,14210,1135,313000,540,17200,230000,,93400,,,2565485
1995,125000,117000,27600,328000,1250000,13750,1135,347000,1600,7000,277000,138000,113000,,,2746085
1996,116000,102000,27600,305000,1190000,22360,1449,361000,2500,10300,278000,116000,129000,,,2661209
1997,66700,97500,25800,306000,1130000,21948,1087,296000,2675,12350,233000,101000,108000,,,2402060
1998,64300,164000,25800,210000,1110000,18962,1054,312000,2680,15000,220000,132000,147000,,,2422796
1999,73300,154000,32860,177000,992000,20862,1054,309000,3200,14200,212000,77300,140000,,,2206776
2000,70800,117000,31360,193000,1139000,21129,1054,230000,3900,9300,191000,73500,131000,,,2212043
2001,69300,122000,35570,188000,1874270,11930,8829,228000,4060,8400,176000,84000,117000,,,2927359
2002,49000,18100,41070,223000,2138110,14800,2065,225000,4480,8100,115000,82600,113000,143000,6760,3184085
2003,63000,16000,45270,223000,2373470,15100,2561,110000,6000,5880,114000,66000,112000,137000,7101,3296382
2004,66700,13500,48780,223000,2601970,13300,2315,139000,6450,4740,114000,61900,115000,203000,6880,3620535
