Stock Alt Year Catch ABC OFL SSB TotBiom
EBS_Pollock_2023 1 2024 1350 2400.94 2918.9 3243.04 13682.5
EBS_Pollock_2023 1 2025 2250.4 2250.4 2742.1 2995.03 13635.5
EBS_Pollock_2023 1 2026 1856.01 1856.01 2275.51 2752.86 12745.7
EBS_Pollock_2023 1 2027 1710.43 1710.43 2095.84 2651.44 12363.3
EBS_Pollock_2023 1 2028 1628.76 1628.76 1995.32 2584.53 12170
EBS_Pollock_2023 1 2029 1610.05 1610.05 1969.85 2535.12 11998.4
EBS_Pollock_2023 1 2030 1570.02 1570.02 1922.8 2509.16 11886.3
EBS_Pollock_2023 1 2031 1546.39 1546.39 1894.09 2495.96 11809.9
EBS_Pollock_2023 1 2032 1534.66 1534.66 1879.5 2478.92 11728.1
EBS_Pollock_2023 1 2033 1528.13 1528.13 1871.14 2467.42 11723.4
EBS_Pollock_2023 1 2034 1518.46 1518.46 1858.88 2452.05 11711.5
EBS_Pollock_2023 1 2035 1512.35 1512.35 1851.77 2447.78 11694.3
EBS_Pollock_2023 1 2036 1512.38 1512.38 1851.93 2457.46 11687.4
EBS_Pollock_2023 2 2024 1350 2400.94 2918.9 3243.04 13682.5
EBS_Pollock_2023 2 2025 2250.4 2250.4 2742.1 2995.03 13635.5
EBS_Pollock_2023 2 2026 1856.01 1856.01 2275.51 2752.86 12745.7
EBS_Pollock_2023 2 2027 1710.43 1710.43 2095.84 2651.44 12363.3
EBS_Pollock_2023 2 2028 1628.76 1628.76 1995.32 2584.53 12170
EBS_Pollock_2023 2 2029 1610.05 1610.05 1969.85 2535.12 11998.4
EBS_Pollock_2023 2 2030 1570.02 1570.02 1922.8 2509.16 11886.3
EBS_Pollock_2023 2 2031 1546.39 1546.39 1894.09 2495.96 11809.9
EBS_Pollock_2023 2 2032 1534.66 1534.66 1879.5 2478.92 11728.1
EBS_Pollock_2023 2 2033 1528.13 1528.13 1871.14 2467.42 11723.4
EBS_Pollock_2023 2 2034 1518.46 1518.46 1858.88 2452.05 11711.5
EBS_Pollock_2023 2 2035 1512.35 1512.35 1851.77 2447.78 11694.3
EBS_Pollock_2023 2 2036 1512.38 1512.38 1851.93 2457.46 11687.4
EBS_Pollock_2023 3 2024 1350 2400.94 2918.9 3243.04 13682.5
EBS_Pollock_2023 3 2025 1476.89 2250.4 2742.1 3101.15 13635.5
EBS_Pollock_2023 3 2026 1357.22 2081.58 2547.63 3115.46 13488.9
EBS_Pollock_2023 3 2027 1339.25 2060.57 2527.21 3150.11 13478.2
EBS_Pollock_2023 3 2028 1353.66 2075.74 2541.45 3152.92 13472.1
EBS_Pollock_2023 3 2029 1381.03 2098.71 2563.36 3127.08 13360.6
EBS_Pollock_2023 3 2030 1364.78 2064.37 2521.64 3101.71 13252.3
EBS_Pollock_2023 3 2031 1347.4 2032.83 2483.82 3079.02 13154
EBS_Pollock_2023 3 2032 1336.56 2014.38 2461.28 3052.34 13047
EBS_Pollock_2023 3 2033 1328.35 2000.85 2444.55 3032.06 13019.5
EBS_Pollock_2023 3 2034 1320.67 1986.95 2427.35 3009.05 12990.4
EBS_Pollock_2023 3 2035 1312.86 1974.57 2412.51 2997.58 12956.8
EBS_Pollock_2023 3 2036 1309.86 1968.75 2405.46 3002.25 12938
EBS_Pollock_2023 4 2024 1350 2400.94 2918.9 3243.04 13682.5
EBS_Pollock_2023 4 2025 1011.27 2250.4 2742.1 3160.28 13635.5
EBS_Pollock_2023 4 2026 989.736 2220.37 2714.94 3342.52 13937.4
EBS_Pollock_2023 4 2027 1015.37 2286.04 2799.37 3491.97 14210.7
EBS_Pollock_2023 4 2028 1056.19 2373.42 2903.62 3577.01 14396.8
EBS_Pollock_2023 4 2029 1101.67 2461.61 3004.26 3607.43 14415.3
EBS_Pollock_2023 4 2030 1106.54 2467.14 3009.47 3618.94 14394
EBS_Pollock_2023 4 2031 1102.66 2456.57 2996.89 3616.63 14344.6
EBS_Pollock_2023 4 2032 1099.28 2448.62 2986.86 3601.93 14263.5
EBS_Pollock_2023 4 2033 1096.69 2440.49 2976.42 3587.57 14248.7
EBS_Pollock_2023 4 2034 1092.62 2430.04 2963.26 3566.02 14224.1
EBS_Pollock_2023 4 2035 1086.78 2418.9 2950.21 3553.84 14189.6
EBS_Pollock_2023 4 2036 1084.04 2412.87 2943.16 3557.2 14167.9
EBS_Pollock_2023 5 2024 1350 2400.94 2918.9 3243.04 13682.5
EBS_Pollock_2023 5 2025 0 2250.4 2742.1 3278.28 13635.5
EBS_Pollock_2023 5 2026 0 2528.49 3086.12 3857.37 14914.4
EBS_Pollock_2023 5 2027 0 2847.99 3476.75 4352.86 15978.1
EBS_Pollock_2023 5 2028 0 3174.41 3868 4745.72 16834.1
EBS_Pollock_2023 5 2029 0 3491.22 4243.18 5040.2 17425.6
EBS_Pollock_2023 5 2030 0 3687.59 4477.32 5278.15 17894.2
EBS_Pollock_2023 5 2031 0 3823.52 4640.32 5454.99 18234.3
EBS_Pollock_2023 5 2032 0 3925.79 4763.06 5584.12 18454.8
EBS_Pollock_2023 5 2033 0 4007.3 4859.34 5678.06 18666.2
EBS_Pollock_2023 5 2034 0 4061.92 4924.44 5733.54 18811.5
EBS_Pollock_2023 5 2035 0 4092.41 4961.38 5776.83 18895.1
EBS_Pollock_2023 5 2036 0 4115.98 4989.71 5820.12 18956.8
EBS_Pollock_2023 6 2024 2918.9 2400.94 2918.9 3012.94 13682.5
EBS_Pollock_2023 6 2025 2155.94 1763.09 2155.94 2389.33 12124.8
EBS_Pollock_2023 6 2026 1751.08 1435.79 1751.08 2282.96 11556.5
EBS_Pollock_2023 6 2027 1670.7 1362.1 1670.7 2285.89 11454.8
EBS_Pollock_2023 6 2028 1659.99 1352.22 1659.99 2281.39 11437
EBS_Pollock_2023 6 2029 1674.06 1365.67 1674.06 2261.78 11346.6
EBS_Pollock_2023 6 2030 1648.29 1343.74 1648.29 2249.79 11270
EBS_Pollock_2023 6 2031 1626.92 1325.65 1626.92 2243.5 11208.9
EBS_Pollock_2023 6 2032 1616.83 1317.15 1616.83 2230.31 11137.1
EBS_Pollock_2023 6 2033 1610.96 1312.85 1610.96 2221.46 11139.8
EBS_Pollock_2023 6 2034 1599.55 1302.85 1599.55 2208.48 11133.1
EBS_Pollock_2023 6 2035 1595.87 1300.27 1595.87 2206.71 11122
EBS_Pollock_2023 6 2036 1596.5 1300.32 1596.5 2217.65 11118
EBS_Pollock_2023 7 2024 2400.94 2400.94 2918.9 3094.31 13682.5
EBS_Pollock_2023 7 2025 1921.1 1921.1 2346.11 2624.48 12621.8
EBS_Pollock_2023 7 2026 2058.65 1678.39 2058.65 2500.73 12206.9
EBS_Pollock_2023 7 2027 1799.39 1468.44 1799.39 2377.61 11712.4
EBS_Pollock_2023 7 2028 1710.08 1393.76 1710.08 2315.84 11528.2
EBS_Pollock_2023 7 2029 1690.79 1379.72 1690.79 2272.08 11372.3
EBS_Pollock_2023 7 2030 1652.04 1346.91 1652.04 2251.69 11274
EBS_Pollock_2023 7 2031 1626.88 1325.64 1626.88 2243.36 11208
EBS_Pollock_2023 7 2032 1616.39 1316.79 1616.39 2230.04 11136.2
EBS_Pollock_2023 7 2033 1610.72 1312.64 1610.72 2221.32 11139.3
EBS_Pollock_2023 7 2034 1599.45 1302.77 1599.45 2208.43 11133
EBS_Pollock_2023 7 2035 1595.84 1300.24 1595.84 2206.69 11122
EBS_Pollock_2023 7 2036 1596.5 1300.32 1596.5 2217.65 11117.9
